sid,pre accu,post accu
S100,,[0.58333333 0.60416667 0.5        0.5       ]
S91,,[0.45833333 0.4375     0.52083333 0.33333333]
S92,,[1.         1.         0.97916667 0.97916667]
S93,,[0.5        0.47916667 0.45833333 0.47916667]
S94,,[0.4375     0.54166667 0.54166667 0.64583333]
S95,,[0.97916667 0.97916667 1.         1.        ]
S96,,[0.75       0.45833333 0.77083333 0.72916667]
S97,,[0.5        0.47916667 0.60416667 0.66666667]
S98,,[0.95833333 0.875      0.9375     0.91666667]
S99,,[0.60416667 0.64583333 0.60416667 0.625     ]
