sid,pre accu,post accu
S100,,[0.45833333 0.58333333 0.45833333 0.5625    ]
S91,,[0.47916667 0.5        0.45833333 0.52083333]
S92,,[0.47916667 0.66666667 0.45833333 0.60416667]
S93,,[0.52083333 0.5625     0.41666667 0.35416667]
S94,,[0.52083333 0.5        0.47916667 0.41666667]
S95,,[0.52083333 0.6875     0.4375     0.5625    ]
S96,,[0.58333333 0.47916667 0.625      0.52083333]
S97,,[0.52083333 0.47916667 0.5625     0.47916667]
S98,,[0.5        0.375      0.54166667 0.39583333]
S99,,[0.5625     0.375      0.54166667 0.3125    ]
