sid,pre accu,post accu
S100,,[0.60416667 0.4375     0.64583333 0.5625    ]
S91,,[0.52083333 0.5        0.52083333 0.4375    ]
S92,,[0.6875     0.70833333 0.72916667 0.70833333]
S93,,[0.5        0.5        0.52083333 0.5       ]
S94,,[0.3125     0.58333333 0.5        0.58333333]
S95,,[0.64583333 0.625      0.70833333 0.75      ]
S96,,[0.72916667 0.66666667 0.8125     0.64583333]
S97,,[0.54166667 0.47916667 0.47916667 0.35416667]
S98,,[0.91666667 0.83333333 0.875      0.83333333]
S99,,[0.45833333 0.47916667 0.4375     0.35416667]
