sid,pre accu,post accu
S100,,[0.66666667 0.64583333 0.5625     0.5       ]
S91,,[0.60416667 0.47916667 0.5        0.45833333]
S92,,[0.89583333 1.         0.97916667 1.        ]
S93,,[0.64583333 0.54166667 0.41666667 0.45833333]
S94,,[0.52083333 0.52083333 0.54166667 0.47916667]
S95,,[0.95833333 1.         1.         1.        ]
S96,,[0.72916667 0.58333333 0.85416667 0.75      ]
S97,,[0.41666667 0.5        0.47916667 0.58333333]
S98,,[0.9375     0.8125     0.9375     0.85416667]
S99,,[0.64583333 0.47916667 0.64583333 0.60416667]
