sid,pre accu,post accu
S100,,[0.77083333 0.54166667 0.58333333 0.47916667]
S91,,[0.5        0.47916667 0.54166667 0.52083333]
S92,,[0.83333333 1.         0.97916667 0.97916667]
S93,,[0.64583333 0.8125     0.41666667 0.6875    ]
S94,,[0.4375     0.58333333 0.54166667 0.375     ]
S95,,[1. 1. 1. 1.]
S96,,[0.75       0.66666667 0.79166667 0.79166667]
S97,,[0.41666667 0.47916667 0.41666667 0.41666667]
S98,,[0.9375 0.8125 0.9375 0.875 ]
S99,,[0.5        0.39583333 0.60416667 0.5625    ]
