sid,pre accu,post accu
A10FTGEV1WR18H,,[0.71875]
A1171IQSWQS0K8,,[0.71698113]
A19317A3X87NVM,,[0.68553459]
A1CQ0A0GDCNWQM,,[0.675]
A1NUO93OHZREC3,,[0.55629139]
A1VFRCYMWGWWCZ,,[0.55263158]
A23A5GN4EU95BU,,[0.62251656]
A27KDTUI0H1KJV,,[0.7375]
A2AJA3UXBCKD9X,,[0.56962025]
A2B8JGCVGBDTL5,,[0.6163522]
A2CAMPAA7650H2,,[0.72955975]
A2GXLM74C7BDI8,,[0.60897436]
A2HJDLSU95MH8Q,,[0.725]
A2OLSZ6DD9I239,,[0.69620253]
A2S6QOCFC3EAYH,,[0.70253165]
A2WQPFE3ZGE5N8,,[0.76875]
A2WSVHUR3V9TTJ,,[0.575]
A2WZ71TT9AJPV,,[0.5477707]
A34CPKFZXBX1PO,,[0.66875]
A36YITYE70JBQQ,,[0.6375]
A376DD71XY793G,,[0.675]
A3CDWPBKYDDASL,,[0.47169811]
A3DUAHX5VT0ZMY,,[0.5875]
A3KKY9HXZRRAIV,,[0.76875]
A3MLNAZCS0Y2QP,,[0.60377358]
A3N62A1YVDMKS5,,[0.5033557]
A3NI2W5HH47HP6,,[0.7125]
A3O9J3V0K06IP2,,[0.52903226]
A3VPD34C23PQTQ,,[0.48322148]
A3XU8C72O6LCD,,[0.7133758]
A7G6TFAYTV2FC,,[0.74213836]
ADU7XJYUJLGNA,,[0.64968153]
AEUTD1DUJTF2I,,[0.47402597]
AH4KZU52G2WCN,,[0.68553459]
AKMQH2MGTUWO9,,[0.58490566]
AQ9CUPOYWCR7F,,[0.70625]
AV8GCOTWEB6MP,,[0.4516129]
AZHXFE6BIUJNV,,[0.59235669]
