sid,pre accu,post accu
A002160837SWJFPIAI7L7,,[0.6]
A19WXHQSBB6P6O,,[0.56875]
A1GSEK9J872N9R,,[0.63291139]
A1L7B0F8PVW1D0,,[0.525]
A1MJVTR0PCKBWW,,[0.66037736]
A1PQTHY6IUEFFF,,[0.54375]
A1VRBTDT3VJSIA,,[0.5408805]
A1Y9D4RKC3BZQ3,,[0.53164557]
A1YCGICA8XCNBH,,[0.60377358]
A2196WCNDZULFS,,[0.61875]
A21ZK49H9LSSRY,,[0.6375]
A26YJJHOW9HXUY,,[0.61875]
A27VDYB5VONES2,,[0.50314465]
A2CY1TSQ3KKP5Q,,[0.60759494]
A2DBMKJCUX09Q5,,[0.68125]
A2H0A9JR2ZDR24,,[0.6835443]
A2I3X8R5TE3REY,,[0.775]
A2I43BDUPAM00C,,[0.68125]
A2KW17G25L25R8,,[0.50314465]
A2O4TQTT57L48Q,,[0.63125]
A2VFBBFRHFTYOW,,[0.6875]
A2VSUCEXMNSUF5,,[0.71974522]
A2Y9O62M75TPM6,,[0.68152866]
A2Z75NJBZ46RE9,,[0.71518987]
A30H28F41UBJGK,,[0.61875]
A31PXEBRLT9LW,,[0.60126582]
A34CQE6RGU49L7,,[0.7375]
A36PRTZFECB76C,,[0.57232704]
A3B9QNYDDXGL9I,,[0.71875]
A3IIA92PUAI331,,[0.59375]
A3IU2E7QCWYEZI,,[0.60625]
A3K5YBCBVBM3RY,,[0.65806452]
A5ZZAWZSH0AMK,,[0.60759494]
AB3L4DBGHX7PG,,[0.61392405]
ADEI2XDEX4B7Q,,[0.7]
ADL6HFLKUSQOZ,,[0.57142857]
AWKUOA7M4P8YI,,[0.58227848]
AZHXFE6BIUJNV,,[0.61783439]
