sid,pre accu,post accu
A002160837SWJFPIAI7L7,,[0.49375]
A19WXHQSBB6P6O,,[0.6125]
A1GSEK9J872N9R,,[0.55063291]
A1L7B0F8PVW1D0,,[0.43125]
A1MJVTR0PCKBWW,,[0.57861635]
A1PQTHY6IUEFFF,,[0.525]
A1VRBTDT3VJSIA,,[0.64779874]
A1Y9D4RKC3BZQ3,,[0.43037975]
A1YCGICA8XCNBH,,[0.46540881]
A2196WCNDZULFS,,[0.45625]
A21ZK49H9LSSRY,,[0.5]
A26YJJHOW9HXUY,,[0.4875]
A27VDYB5VONES2,,[0.54716981]
A2CY1TSQ3KKP5Q,,[0.58227848]
A2DBMKJCUX09Q5,,[0.4125]
A2H0A9JR2ZDR24,,[0.48734177]
A2I3X8R5TE3REY,,[0.475]
A2I43BDUPAM00C,,[0.475]
A2KW17G25L25R8,,[0.50943396]
A2O4TQTT57L48Q,,[0.49375]
A2VFBBFRHFTYOW,,[0.5375]
A2VSUCEXMNSUF5,,[0.82802548]
A2Y9O62M75TPM6,,[0.49681529]
A2Z75NJBZ46RE9,,[0.46202532]
A30H28F41UBJGK,,[0.38125]
A31PXEBRLT9LW,,[0.55696203]
A34CQE6RGU49L7,,[0.50625]
A36PRTZFECB76C,,[0.47798742]
A3B9QNYDDXGL9I,,[0.475]
A3IIA92PUAI331,,[0.45625]
A3IU2E7QCWYEZI,,[0.50625]
A3K5YBCBVBM3RY,,[0.52903226]
A5ZZAWZSH0AMK,,[0.57594937]
AB3L4DBGHX7PG,,[0.56962025]
ADEI2XDEX4B7Q,,[0.40625]
ADL6HFLKUSQOZ,,[0.61688312]
AWKUOA7M4P8YI,,[0.58860759]
AZT19Y8A0811M,,[0.47798742]
