sid,pre accu,post accu
A10FTGEV1WR18H,,[0.7125]
A1171IQSWQS0K8,,[0.71698113]
A19317A3X87NVM,,[0.64779874]
A1CQ0A0GDCNWQM,,[0.64375]
A1NUO93OHZREC3,,[0.63576159]
A1VFRCYMWGWWCZ,,[0.54605263]
A23A5GN4EU95BU,,[0.64900662]
A27KDTUI0H1KJV,,[0.7375]
A2AJA3UXBCKD9X,,[0.46202532]
A2B8JGCVGBDTL5,,[0.63522013]
A2CAMPAA7650H2,,[0.76100629]
A2GXLM74C7BDI8,,[0.56410256]
A2HJDLSU95MH8Q,,[0.725]
A2OLSZ6DD9I239,,[0.70886076]
A2S6QOCFC3EAYH,,[0.66455696]
A2WQPFE3ZGE5N8,,[0.7125]
A2WSVHUR3V9TTJ,,[0.6625]
A2WZ71TT9AJPV,,[0.62420382]
A34CPKFZXBX1PO,,[0.6375]
A36YITYE70JBQQ,,[0.6]
A376DD71XY793G,,[0.6125]
A3CDWPBKYDDASL,,[0.50943396]
A3DUAHX5VT0ZMY,,[0.61875]
A3KKY9HXZRRAIV,,[0.71875]
A3MLNAZCS0Y2QP,,[0.65408805]
A3N62A1YVDMKS5,,[0.48993289]
A3NI2W5HH47HP6,,[0.73125]
A3O9J3V0K06IP2,,[0.55483871]
A3VPD34C23PQTQ,,[0.4966443]
A3XU8C72O6LCD,,[0.70700637]
A7G6TFAYTV2FC,,[0.68553459]
ADU7XJYUJLGNA,,[0.68789809]
AEUTD1DUJTF2I,,[0.50649351]
AH4KZU52G2WCN,,[0.64779874]
AKMQH2MGTUWO9,,[0.59119497]
AQ9CUPOYWCR7F,,[0.6625]
AV8GCOTWEB6MP,,[0.43225806]
AZT19Y8A0811M,,[0.6163522]
