sid,pre accu,post accu
S100,,[0.625      0.6875     0.79166667 0.8125    ]
S91,,[0.89583333 0.89583333 0.75       0.75      ]
S92,,[0.79166667 0.79166667 1.         1.        ]
S93,,[0.89583333 0.89583333 0.8125     0.875     ]
S94,,[0.97916667 0.97916667 0.91666667 0.9375    ]
S95,,[0.97916667 0.97916667 0.95833333 0.95833333]
S96,,[0.97916667 0.97916667 1.         1.        ]
S97,,[0.83333333 0.875      0.89583333 0.9375    ]
S98,,[0.97916667 0.97916667 0.95833333 0.95833333]
S99,,[0.89583333 0.89583333 0.95833333 0.9375    ]
