sid,pre accu,post accu
S100,,[0.375      0.33333333 0.375      0.41666667]
S91,,[0.0625     0.27083333 0.375      0.4375    ]
S92,,[0.52083333 0.35416667 0.375      0.29166667]
S93,,[0.35416667 0.39583333 0.33333333 0.25      ]
S94,,[0.39583333 0.27083333 0.3125     0.33333333]
S95,,[0.39583333 0.27083333 0.29166667 0.41666667]
S96,,[0.35416667 0.39583333 0.375      0.29166667]
S97,,[0.3125     0.1875     0.39583333 0.3125    ]
S98,,[0.39583333 0.27083333 0.29166667 0.41666667]
S99,,[0.41666667 0.41666667 0.29166667 0.29166667]
