sid,pre accu,post accu
A10KUKZO8X00FX,,[0.53896104]
A11LSO6D7BMY99,,[0.66037736]
A12GURH9VA1DSL,,[0.59119497]
A12SGLXX6B9DKR,,[0.66875]
A131ASOEYX40WQ,,[0.49056604]
A13324WUZPFTSU,,[0.67924528]
A13FTIHWW9GE8X,,[0.61006289]
A13RB1XEBC42IB,,[0.49032258]
A13WYZ8AXD6ODX,,[0.93081761]
A142WDKXKIGZ2J,,[0.63522013]
A15NB4T70DJF4A,,[0.5408805]
A15YUDP435G6GR,,[0.63057325]
A17UGPL6SP30TI,,[0.68589744]
A18SI8WCQO5Y7G,,[0.66037736]
A19AVIOBMJJFR,,[0.54375]
A19JWJ0ACBROIQ,,[0.5]
A1A8MBDIAQT43U,,[0.63924051]
A1AWCWWNKROZB4,,[0.53797468]
A1AZGIX6JKKXLJ,,[0.5375]
A1B14CS9DW7008,,[0.6835443]
A1B3GZ82DXB3FC,,[0.57961783]
A1B58D405N5JMG,,[0.54248366]
A1BHS3P43IEM0C,,[0.55063291]
A1C6FKYJT2GANX,,[0.48125]
A1COS8FJCDM53I,,[0.62025316]
A1CQ0A0GDCNWQM,,[0.53125]
A1CU00SW7F9TMB,,[0.6918239]
A1CWIZ7489ITS9,,[0.76]
A1DAMLBQ646F3K,,[0.50943396]
A1DHGKBQOKC8CC,,[0.58490566]
A1E6CS5JV5MNGI,,[0.59375]
A1FXGW5C0H4L3T,,[0.5625]
A1G1K9Y2EXBWCC,,[0.71518987]
A1G331HUXOSJAM,,[0.78616352]
A1G399CGVV8MYK,,[0.54716981]
A1GZCLBFBKWFEZ,,[0.6625]
A1HPHTOU79BT9H,,[0.53465347]
A1HYU54H5V004N,,[0.64375]
A1HYX9RFPAO63W,,[0.55625]
A1IFIK8J49WBER,,[0.5875]
A1JSVBR3BE3FJP,,[0.58823529]
A1JX9ROLDPIVTX,,[0.61875]
A1K21SF4UU9I89,,[0.63636364]
A1K93WBH35CIAZ,,[0.58139535]
A1KUHOL3DB3ON,,[0.59375]
A1MBOVL1252O51,,[0.48125]
A1MJ82C7YG7W89,,[0.62264151]
A1MK9E61C7IV5Q,,[0.4591195]
A1MLWVH0IE3HJ1,,[0.56050955]
A1MOK8UVLG7FJK,,[0.69375]
A1MYJP0JHMTTHV,,[0.58503401]
A1N1N35Z156GTY,,[0.78125]
A1NT5BBN005ZNJ,,[0.70253165]
A1Q2Y5NFN4VVGT,,[0.75]
A1QA71PIMNZWYD,,[0.57324841]
A1QECZB49T1H3K,,[0.56329114]
A1QVRDWVOPLMTS,,[0.52531646]
A1RZQMVQ8FSNOS,,[0.62893082]
A1S8AGMAWK2SZN,,[0.475]
A1SX3P1H4IWKFQ,,[0.84827586]
A1TKDVMKM4VWQ8,,[0.56603774]
A1TSST60BO5K52,,[0.52307692]
A1U69QDM8UIXZ5,,[0.70625]
A1UJ2M1AKWMNLC,,[0.62025316]
A1ULX8TTW7ZFV7,,[0.5375]
A1UY31PXAQRQ5G,,[0.5875]
A1VCX33RL5OFNY,,[0.77707006]
A1VHYLBRF21ZFB,,[0.59868421]
A1W1QA5KGVZBLC,,[0.6]
A1WBUS5PV9PAGR,,[0.84713376]
A1XWKA72Z23TGA,,[0.53459119]
A1YGJPSS0T3O6J,,[0.475]
A1YK7OG66BQXVX,,[0.52238806]
A1YQ54ZCCS1G1C,,[0.64375]
A1ZTWWYWQWT7NJ,,[0.54375]
A201524B1GJWBO,,[0.51006711]
A20VSS4MA17WZ6,,[0.75625]
A2259HGMTESQVX,,[0.5375]
A237TMG0AIG9PX,,[0.60377358]
A24KZEEOBETVFU,,[0.88125]
A24Y2BHD6TDX4Z,,[0.48125]
A2509PSPWX47EP,,[0.65]
A2545UHAWSKDVH,,[0.64827586]
A25EK5Q3R4ZHE8,,[0.48125]
A25Q1B6EXDAIO4,,[0.83333333]
A261ZPN1DBO1GT,,[0.6516129]
A26U302WESU9UH,,[0.61392405]
A27EAZSYEVYSLO,,[0.56687898]
A27KDTUI0H1KJV,,[0.675]
A27PP69MUCWV0J,,[0.48734177]
A27VDYB5VONES2,,[0.4591195]
A28JXDDPMW8IK0,,[0.46875]
A2916ZYJKILPU9,,[0.4921875]
A29PKMLH38N148,,[0.72666667]
A2AE610UE18R8G,,[0.91194969]
A2AJA3UXBCKD9X,,[0.63924051]
A2ATG240M7SGN7,,[0.65]
A2B3Z92VTSGCD4,,[0.5408805]
A2C3NX6FY216V5,,[0.6442953]
A2C9NR5DY668JU,,[0.57051282]
A2CVQU44JRXCKU,,[0.81132075]
A2DZV5E6PH5NC4,,[0.63125]
A2FN1RVZKLEV0U,,[0.74050633]
A2FOZBO97WR4RY,,[0.67515924]
A2FS1WANWKDNDR,,[0.56687898]
A2GCBL4AZI88Y4,,[0.48427673]
A2GXLM74C7BDI8,,[0.66025641]
A2HRAAY4QRTM7S,,[0.675]
A2IAI2N9IKLCTT,,[0.72955975]
A2IUAIVTQ1DSCR,,[0.625]
A2IW4MN2YG5EUQ,,[0.5875]
A2JBI6GEDB1856,,[0.88679245]
A2JZ7JQ4JN1YMJ,,[0.70886076]
A2K6Z7C7Z6VTBF,,[0.71653543]
A2KQFLUT7652DA,,[0.54375]
A2LOLCBOJZ80DD,,[0.65131579]
A2MYP4G1RB2X2P,,[0.70967742]
A2N1WFVUYXM1F8,,[0.64375]
A2NCWQFEB8XW22,,[0.69811321]
A2OPVCG9M8CER1,,[0.59748428]
A2P7KN8RWT4MHY,,[0.64473684]
A2PE83MK76CRMI,,[0.45625]
A2QAJ9ZTN8YY89,,[0.66875]
A2QCJ7Y5ONXD91,,[0.96835443]
A2QPMJ4GADLUW2,,[0.66037736]
A2R1YTFK72WMET,,[0.59090909]
A2REKFNIBY9O9K,,[0.55625]
A2RG00DYDHIS6Q,,[1.]
A2SAIKFIAV81P5,,[0.61392405]
A2SIHWBR1S6TGF,,[0.56962025]
A2SNAXBDSA5P06,,[0.51282051]
A2TXUNEHPTW3Z3,,[0.6625]
A2TZAKMALWU021,,[0.5625]
A2TZAXWOB3JMNV,,[0.64102564]
A2V2PDSCDL2E8N,,[0.9375]
A2V7UNVBF8SQAK,,[1.]
A2VN59CZEQ7P0R,,[0.68553459]
A2VSUCEXMNSUF5,,[0.85350318]
A2W02ACKYETLOA,,[0.61875]
A2WBQOFHROA9OS,,[0.5625]
A2XNMAZ318NXYC,,[0.6375]
A2XWXL9TSRRALZ,,[0.525]
A2XYIKRQ0RWBJQ,,[0.56050955]
A2Y9O62M75TPM6,,[0.70700637]
A2YNLDUCO22THM,,[0.45]
A2YO1U4FV1N5MN,,[0.6375]
A2YUEEOJT5NQXV,,[0.6375]
A30J4IZCMCR31F,,[0.61146497]
A30SW74YXUN4UK,,[0.48734177]
A313HIIUB9GB9T,,[0.70440252]
A31F4C4IVX5PFT,,[0.6]
A31IIDT1S31E25,,[0.57861635]
A31PQA4EYWSQI4,,[0.56578947]
A32156CGIMNLBM,,[0.73125]
A322SGIJC9EPN9,,[0.66037736]
A33UTM8NL7S0D6,,[0.53642384]
A345TDMHP3DQ3G,,[0.65]
A34CPKFZXBX1PO,,[0.625]
A34SIGOLUGKIHJ,,[0.6625]
A34XR21XZ4ZPMB,,[0.5408805]
A3503625JEYO1I,,[0.61875]
A36MQHIULG0E6C,,[0.59872611]
A36RRKY24M6NL8,,[0.52229299]
A36YITYE70JBQQ,,[0.64375]
A37025YQUW9ACI,,[1.]
A376IFMV0UCZP2,,[0.58709677]
A38RC4GG8KLJI7,,[0.51265823]
A397NXIY82FXXD,,[0.7483871]
A399A8PB6ITVAG,,[0.55]
A39Y2UOHEAD0DT,,[0.6375]
A3AWZ91R5O1U08,,[0.5408805]
A3BJUCREI3NF2N,,[0.9375]
A3BK3FRTQDW1S,,[0.67295597]
A3BLT959N9AEEK,,[0.56875]
A3BZG57OMOXD4E,,[0.64150943]
A3CMN3K5YO642M,,[0.52739726]
A3DR9RNUCUM0HF,,[0.73584906]
A3E65HYKUDT1D5,,[0.69871795]
A3EGL1YQL1KIQO,,[0.69811321]
A3GEXZD5FXGMHD,,[0.58598726]
A3I4Q8EW2ZLXSU,,[0.6375]
A3IIA92PUAI331,,[0.60625]
A3IOPUZ29U29SA,,[0.50632911]
A3J2DV36CJYSXQ,,[0.8125]
A3K1PM4DQVQ5PY,,[0.59602649]
A3KJHBYLVDBQVF,,[0.67096774]
A3KKY9HXZRRAIV,,[0.7125]
A3L1E2BDYZGGY5,,[0.56774194]
A3L2CJTA12YOHG,,[0.60625]
A3L8LSM7V7KX3T,,[0.6625]
A3LC8JT9NKNKN,,[0.675]
A3LO0YSRBT616U,,[0.53125]
A3MA5BJ4I2JAO2,,[0.61006289]
A3N5RLYH05PY8L,,[0.58125]
A3N62A1YVDMKS5,,[0.53691275]
A3NAEEY1J3T56D,,[0.49044586]
A3NQXTG2PLSHSV,,[0.83018868]
A3O9J3V0K06IP2,,[0.60645161]
A3ON3DL1CKGN4E,,[0.675]
A3PWRZ67TPKZPU,,[0.4875]
A3R4ZSD6YI7B7P,,[0.575]
A3R818WN41K12K,,[0.63522013]
A3R96PU1Q81J82,,[0.68125]
A3REGSAW2MEXUE,,[0.60377358]
A3RQ6SG91VBOF8,,[0.66666667]
A3RZAUNCBSSMK4,,[0.77922078]
A3S51CYI47OM6K,,[0.8427673]
A3S5XPHDMQ2ESR,,[0.60958904]
A3STW7EL76T5YN,,[0.61783439]
A3UG24UP4WQP39,,[0.65625]
A3UYF2OT5REMG0,,[0.56050955]
A3V5O8N34LPUSG,,[0.69375]
A3VPD34C23PQTQ,,[0.5704698]
A40AORVZ0PLJH,,[0.39622642]
A47UGZ5QR0VV9,,[0.56842105]
A5L8F0YF1OVY8,,[0.59119497]
A5LBQCECTTYXZ,,[0.50632911]
A5NRU6MXE2ZCC,,[0.90909091]
A5VBXI0L63405,,[0.67924528]
A5ZZAWZSH0AMK,,[0.5443038]
A7O6BHXX3BW97,,[0.48125]
A8EPYZKX470Z2,,[0.5125]
A8JKAE3S49ZB,,[0.57324841]
A9EQ4FWCUQVBL,,[0.6163522]
A9XRCLB9YQA31,,[0.99363057]
AA1Y56MOQY6X3,,[0.53503185]
AA3ARQT2KLA04,,[0.725]
AAADOFXQJAVKR,,[0.56]
AALXX2P1V0A41,,[0.64150943]
AAP4Q6KBJ2NRO,,[0.4875]
AAVXVUCG3TY5E,,[0.65822785]
AB9UVOKF0TQXB,,[0.6]
AB9V7IERF6S1C,,[0.70625]
ACBNJC661QT03,,[0.77987421]
ACFWFOAQOBBQQ,,[0.65189873]
AD1ILDUXZHASF,,[0.70068027]
AEE6B6DGU8VBV,,[0.78616352]
AET7NEH3VZ0V9,,[0.60759494]
AEUTD1DUJTF2I,,[0.76623377]
AFE1GH96UN330,,[0.9245283]
AG6WJCYSHYMB6,,[0.6125]
AGAWW1UZMH5I4,,[0.5]
AGHI2V890A0OH,,[0.65]
AGPRRX9GD0XJ4,,[0.675]
AH4KZU52G2WCN,,[0.59748428]
AHEV3HZNQPO5S,,[0.66037736]
AHIEURVG73I4V,,[0.5]
AI0K2LZWV73MB,,[0.64375]
AJE5OG666CBAC,,[0.57961783]
AKLP966YN2LVC,,[0.52554745]
AKMQH2MGTUWO9,,[0.68553459]
AKQAI78JTXXC9,,[0.75625]
AL9EM0WI8GA3P,,[0.575]
ANO8YBLKJIO1E,,[0.64238411]
AO70JEL57377O,,[0.48734177]
AODANWH0HK3JK,,[0.65408805]
AOVK9GXJRHMGB,,[0.44516129]
APHLO6ZGGX63T,,[0.78125]
APMSH8PF908NC,,[0.48101266]
AQGAWYR5DBRCP,,[0.69375]
AQK19RNVF9VCT,,[0.44025157]
AQM8U9T3H4P68,,[0.87417219]
AR2PFPOD88K62,,[0.50943396]
ARDYDFF4T0YYT,,[0.97163121]
AS70QWROQLXKE,,[0.5974026]
ASC6X59B0MBBD,,[0.60509554]
AU9LQW279ZBNK,,[0.61875]
AUFMG49X8NO0N,,[0.625]
AUS42DYFLEAXL,,[0.68125]
AV8GCOTWEB6MP,,[0.52258065]
AVASQBFN6J692,,[0.56329114]
AWCUB17Q5I2E0,,[0.53947368]
AWN8RYDU3FO9E,,[0.63924051]
AWTY1W5ZF8DSA,,[0.57861635]
AWYJAKECMVVUX,,[0.66455696]
AX1U5YVHOTUEG,,[0.51923077]
AZ9VGP5R8E9QB,,[0.41875]
AZHXFE6BIUJNV,,[0.5477707]
