sid,pre accu,post accu
S226,,[0.64968153]
S227,,[0.66875]
S228,,[0.59333333]
S229,,[0.58490566]
S230,,[0.44375]
S231,,[0.6835443]
S232,,[0.58125]
S233,,[0.54375]
S234,,[0.79874214]
S235,,[0.58227848]
S236,,[0.6122449]
S237,,[0.72955975]
S238,,[0.5443038]
S239,,[0.71428571]
S240,,[0.98113208]
S241,,[0.51875]
S242,,[0.51875]
S243,,[0.575]
S244,,[0.575]
S245,,[0.53459119]
S246,,[0.52830189]
S247,,[0.45625]
S248,,[0.50625]
S249,,[0.54140127]
S250,,[0.47445255]
S251,,[0.64779874]
S252,,[0.65]
S253,,[0.5625]
S254,,[0.65562914]
S255,,[0.48101266]
S256,,[0.64150943]
S257,,[0.45806452]
S258,,[0.75625]
S259,,[0.56329114]
S260,,[0.5625]
S261,,[0.43396226]
S262,,[0.75496689]
S263,,[0.45283019]
S264,,[0.9858156]
S265,,[0.59090909]
S266,,[0.52229299]
S267,,[0.58125]
S268,,[0.60625]
S269,,[0.4875]
S270,,[0.50967742]
S271,,[0.5443038]
S272,,[0.56578947]
S273,,[0.5]
S274,,[0.44025157]
S275,,[0.58227848]
S276,,[0.45512821]
S277,,[0.4375]
S278,,[0.45859873]
