sid,pre accu,post accu
A104V8NZIQFN2F,,[0.53459119]
A116ZI03NFKZP2,,[0.38461538]
A12YRP4B70IFU3,,[0.51898734]
A132MSWBBVTOES,,[0.5375]
A153HLAVH5FILS,,[0.50625]
A156I0UDVISMNE,,[0.4522293]
A171WYHYRYMYQZ,,[0.4875]
A197LCCJ6SC5RU,,[0.50943396]
A19TD2J8506A4Y,,[0.53846154]
A19WXHQSBB6P6O,,[0.40625]
A19YM9K2W233IM,,[0.5]
A1AZLJ3R5FQ9B7,,[0.56050955]
A1B4PKGXKL7UOH,,[0.56737589]
A1B7GQTH9YG04X,,[0.45]
A1BG47GSHQ9WSU,,[0.45]
A1BS578UP5XCAR,,[0.45283019]
A1C2T79XTDHE39,,[0.51875]
A1CIEZNXXDSO6V,,[0.5125]
A1CR7O77ZW0QQU,,[0.4375]
A1GNV8C2792XF,,[0.43125]
A1GSEK9J872N9R,,[0.44936709]
A1HA5WALONI2FD,,[0.49375]
A1HFPDHBLO6KZW,,[0.5125]
A1HP506HGINWSV,,[0.41875]
A1I8VAUT4V90YR,,[0.48427673]
A1J7N95EW8EGCX,,[0.46875]
A1J9OZZ1LDG8VN,,[0.40625]
A1KFV732TWXROL,,[0.35]
A1KIL2V6SMJBGX,,[0.5443038]
A1L7B0F8PVW1D0,,[0.55625]
A1LKKR0ZJ9L1IP,,[0.53125]
A1LSFPPDGORPB0,,[0.53125]
A1M1E62KXCDNL0,,[0.5]
A1MJVTR0PCKBWW,,[0.42138365]
A1MT52IO9GBZ1M,,[0.59375]
A1P3HHEXWNLJMP,,[0.5875]
A1QAWECOJYKVO4,,[0.56329114]
A1QX1RYLCFXZJ9,,[0.54716981]
A1T429RLLFTG35,,[0.55]
A1T4HSFG9NPJ23,,[0.51875]
A1UKZRDH1T231M,,[0.4375]
A1V339VY5CNWLS,,[0.5]
A1VRBTDT3VJSIA,,[0.35220126]
A1W4IS5NDEFNFL,,[0.53125]
A1WSCND5HZZV5N,,[0.425]
A1XE5G7H6AO5HH,,[0.55]
A1XU9GFZAGFJ5B,,[0.48125]
A1XUZFDVKP95VC,,[0.54375]
A1YCGICA8XCNBH,,[0.53459119]
A1YXTSIV0YB8RW,,[0.55345912]
A1Z2QEEPKEK1X1,,[0.43125]
A1ZNMX8WJCDKQQ,,[0.4375]
A20KWU6IJJX5AT,,[0.54375]
A20VAAO3DYW5GL,,[0.62264151]
A2179410P3XBIQ,,[0.45]
A21HUPW67XA7UJ,,[0.50625]
A21WXJDPT7I70M,,[0.51875]
A21ZK49H9LSSRY,,[0.5]
A21ZNPDJNBKCWG,,[0.5125]
A22CPS48MSR1OQ,,[0.4875]
A22DDO8NILSX6O,,[0.54375]
A22DVMN2Y3XHWA,,[0.54375]
A22WWSTT8TU7G1,,[0.4125]
A22ZB2132UJB6Y,,[0.4875]
A22ZZCICZDCSTY,,[0.4522293]
A235ULDV4XUVDM,,[0.4625]
A24CG5BTB8KQ39,,[0.47169811]
A24FB6EEAEZKA4,,[0.50625]
A2531UD0IGT731,,[0.51875]
A25LHXY3SAOVBV,,[0.45625]
A26YJJHOW9HXUY,,[0.5]
A26Z8M2VSEWUU4,,[0.4875]
A27ZW1CY6TMKT8,,[0.46875]
A288RSAGJBLY9,,[0.44375]
A2AWSN5CWONM8,,[0.46496815]
A2BLQ1GVEHJR8T,,[0.5125]
A2CJNNTLFULCTH,,[0.48717949]
A2CWA5VQZ6IWMQ,,[0.4875]
A2DOMBSKO75VV7,,[0.49375]
A2DU0TGJDZWUCV,,[0.4875]
A2E72ZI1VESTMR,,[0.43396226]
A2E7S35ZI3WBET,,[0.52866242]
A2FN0MPGK61HW,,[0.44230769]
A2FUQER3KRIXYJ,,[0.5]
A2G53Y36QD1ZGV,,[0.5625]
A2GL2Y13IGLHLK,,[0.51572327]
A2GVON0W6E874S,,[0.5125]
A2H0A9JR2ZDR24,,[0.51265823]
A2H6Q22X1V1FTX,,[0.525]
A2HJDLSU95MH8Q,,[0.475]
A2I14UHUQIH4L0,,[0.44654088]
A2I43BDUPAM00C,,[0.58125]
A2INUUEUK5K065,,[0.41875]
A2J43FWL1Z0FV1,,[0.5]
A2JD1QZEPKPD6L,,[0.44230769]
A2JJ46H36C4R9,,[0.50625]
A2JJAEQ8LHRWNV,,[0.5625]
A2JMIAOV67CPHI,,[0.50625]
A2K6QV9HRJ4V7B,,[0.6125]
A2KW17G25L25R8,,[0.49056604]
A2LJTCHPRZLGS7,,[0.54375]
A2M9JNCHRKMCC4,,[0.525]
A2MF0OZ7Q0J4UP,,[0.475]
A2NMLTECRDWFN2,,[0.53503185]
A2OLQUU01EOJLH,,[0.55063291]
A2P22X4GQWQ8Z1,,[0.52201258]
A2P5UFOTXOR08T,,[0.39622642]
A2P8V5SKYLL5I4,,[0.47169811]
A2QIX7DNN0DZY6,,[0.45625]
