sid,pre accu,post accu
A104V8NZIQFN2F,,[0.64150943]
A116ZI03NFKZP2,,[0.61538462]
A12YRP4B70IFU3,,[0.64556962]
A132MSWBBVTOES,,[0.675]
A153HLAVH5FILS,,[0.66875]
A156I0UDVISMNE,,[0.70063694]
A171WYHYRYMYQZ,,[0.64375]
A197LCCJ6SC5RU,,[0.62264151]
A19TD2J8506A4Y,,[0.49230769]
A19WXHQSBB6P6O,,[0.5875]
A19YM9K2W233IM,,[0.6]
A1AZLJ3R5FQ9B7,,[0.57324841]
A1B4PKGXKL7UOH,,[0.54609929]
A1B7GQTH9YG04X,,[0.70625]
A1BG47GSHQ9WSU,,[0.75625]
A1BS578UP5XCAR,,[0.59748428]
A1C2T79XTDHE39,,[0.675]
A1CIEZNXXDSO6V,,[0.7625]
A1CR7O77ZW0QQU,,[0.7625]
A1GNV8C2792XF,,[0.59375]
A1GSEK9J872N9R,,[0.67088608]
A1HA5WALONI2FD,,[0.61875]
A1HFPDHBLO6KZW,,[0.525]
A1HP506HGINWSV,,[0.68125]
A1I8VAUT4V90YR,,[0.64150943]
A1J7N95EW8EGCX,,[0.65]
A1J9OZZ1LDG8VN,,[0.525]
A1KFV732TWXROL,,[0.625]
A1KIL2V6SMJBGX,,[0.67088608]
A1L7B0F8PVW1D0,,[0.55]
A1LKKR0ZJ9L1IP,,[0.4875]
A1LSFPPDGORPB0,,[0.60625]
A1M1E62KXCDNL0,,[0.58333333]
A1MJVTR0PCKBWW,,[0.75471698]
A1MT52IO9GBZ1M,,[0.5125]
A1P3HHEXWNLJMP,,[0.5875]
A1QAWECOJYKVO4,,[0.53164557]
A1QX1RYLCFXZJ9,,[0.69811321]
A1T429RLLFTG35,,[0.575]
A1T4HSFG9NPJ23,,[0.5125]
A1UKZRDH1T231M,,[0.7875]
A1V339VY5CNWLS,,[0.69620253]
A1VRBTDT3VJSIA,,[0.6163522]
A1W4IS5NDEFNFL,,[0.575]
A1WSCND5HZZV5N,,[0.68125]
A1XE5G7H6AO5HH,,[0.60625]
A1XU9GFZAGFJ5B,,[0.74375]
A1XUZFDVKP95VC,,[0.5875]
A1YCGICA8XCNBH,,[0.59748428]
A1YXTSIV0YB8RW,,[0.62264151]
A1Z2QEEPKEK1X1,,[0.53125]
A1ZNMX8WJCDKQQ,,[0.6125]
A20KWU6IJJX5AT,,[0.6375]
A20VAAO3DYW5GL,,[0.51572327]
A2179410P3XBIQ,,[0.56875]
A21HUPW67XA7UJ,,[0.68125]
A21WXJDPT7I70M,,[0.69375]
A21ZK49H9LSSRY,,[0.56875]
A21ZNPDJNBKCWG,,[0.58125]
A22CPS48MSR1OQ,,[0.7125]
A22DDO8NILSX6O,,[0.6375]
A22DVMN2Y3XHWA,,[0.50625]
A22WWSTT8TU7G1,,[0.63125]
A22ZB2132UJB6Y,,[0.55625]
A22ZZCICZDCSTY,,[0.64968153]
A235ULDV4XUVDM,,[0.5375]
A24CG5BTB8KQ39,,[0.44654088]
A24FB6EEAEZKA4,,[0.6625]
A2531UD0IGT731,,[0.7]
A25LHXY3SAOVBV,,[0.65625]
A26YJJHOW9HXUY,,[0.675]
A26Z8M2VSEWUU4,,[0.66875]
A27ZW1CY6TMKT8,,[0.625]
A288RSAGJBLY9,,[0.675]
A2AWSN5CWONM8,,[0.63694268]
A2BLQ1GVEHJR8T,,[0.6]
A2CJNNTLFULCTH,,[0.67948718]
A2CWA5VQZ6IWMQ,,[0.6625]
A2DOMBSKO75VV7,,[0.58125]
A2DU0TGJDZWUCV,,[0.68125]
A2E72ZI1VESTMR,,[0.6163522]
A2E7S35ZI3WBET,,[0.61146497]
A2FN0MPGK61HW,,[0.56410256]
A2FUQER3KRIXYJ,,[0.67721519]
A2G53Y36QD1ZGV,,[0.66875]
A2GL2Y13IGLHLK,,[0.46540881]
A2GVON0W6E874S,,[0.75625]
A2H0A9JR2ZDR24,,[0.70886076]
A2H6Q22X1V1FTX,,[0.70625]
A2HJDLSU95MH8Q,,[0.69375]
A2I14UHUQIH4L0,,[0.69811321]
A2I43BDUPAM00C,,[0.56875]
A2INUUEUK5K065,,[0.5375]
A2J43FWL1Z0FV1,,[0.75]
A2JD1QZEPKPD6L,,[0.55128205]
A2JJ46H36C4R9,,[0.675]
A2JJAEQ8LHRWNV,,[0.53125]
A2JMIAOV67CPHI,,[0.6625]
A2K6QV9HRJ4V7B,,[0.45]
A2KW17G25L25R8,,[0.57861635]
A2LJTCHPRZLGS7,,[0.55625]
A2M9JNCHRKMCC4,,[0.68125]
A2MF0OZ7Q0J4UP,,[0.74375]
A2NMLTECRDWFN2,,[0.52866242]
A2OLQUU01EOJLH,,[0.52531646]
A2P22X4GQWQ8Z1,,[0.63522013]
A2P5UFOTXOR08T,,[0.72327044]
A2P8V5SKYLL5I4,,[0.41509434]
A2QIX7DNN0DZY6,,[0.6125]
A2R1011DR8EXHQ,,[0.64473684]
A2S6QOCFC3EAYH,,[0.5443038]
A2SLEMDA17XTZ1,,[0.63057325]
A2TV18A7NQF6I5,,[0.5625]
A2V3P1XE33NYC3,,[0.55]
A2VGFS03KCCR1Q,,[0.55625]
A2VO8C41JJIQY9,,[0.7]
A2VPCWI6X1QCDF,,[0.64375]
A2WSSRWT4ZBHK3,,[0.58227848]
A2WTNZHRALOHX8,,[0.5625]
A2YCDNVHMPVFG6,,[0.575]
A2YZVS6MBFQQPQ,,[0.64375]
A2Z75NJBZ46RE9,,[0.63291139]
A2ZDJLY20J6678,,[0.50625]
A2ZIO0ZTIXOE9J,,[0.60759494]
A2ZZ7GUR0MNWDC,,[0.65]
A302KOFOYLD89A,,[0.66875]
A30GCTXJ17JC3I,,[0.48427673]
A30H28F41UBJGK,,[0.51875]
A30VLIFQPJZ17P,,[0.64150943]
A30Z3CWKO1B6R7,,[0.63125]
A318574M8Q965P,,[0.50318471]
A327V746DXH6ID,,[0.64375]
A32LHQYJY0ELFS,,[0.64779874]
A32W24TWSWXW,,[0.65625]
A34051YREUMGHU,,[0.71698113]
A342YLIMT6THWO,,[0.6125]
A348UZASXTNGWR,,[0.60625]
A34DYM8J0X5VK,,[0.55]
A34VID9K8BKKSH,,[0.56603774]
A362RXUHDXF7EA,,[0.59748428]
A363NKR14886XG,,[0.7125]
A36EDYMS6VYHW1,,[0.49375]
