sid,pre accu,post accu
A10FTGEV1WR18H,,[0.50625]
A1171IQSWQS0K8,,[0.54716981]
A12GURH9VA1DSL,,[0.48427673]
A131ASOEYX40WQ,,[0.52830189]
A13FTIHWW9GE8X,,[0.69811321]
A13WYZ8AXD6ODX,,[0.3081761]
A14S8YR2HRXVNX,,[0.72327044]
A14Y8ML89H3XFL,,[0.5875]
A17FGZ1I5P9RZA,,[0.55345912]
A17UGPL6SP30TI,,[0.48717949]
A185UIGZSN2Z0K,,[0.5375]
A18R0AUVIN6WX,,[0.53125]
A18S266M02RWZU,,[0.4375]
A19AVIOBMJJFR,,[0.55625]
A19DVHPN5TEYL7,,[0.475]
A19TD2J8506A4Y,,[0.54615385]
A1AZGIX6JKKXLJ,,[0.525]
A1B3GZ82DXB3FC,,[0.55414013]
A1B58D405N5JMG,,[0.55555556]
A1C2T79XTDHE39,,[0.5125]
A1CQ0A0GDCNWQM,,[0.49375]
A1CWIZ7489ITS9,,[0.52]
A1DAMLBQ646F3K,,[0.53459119]
A1DHGKBQOKC8CC,,[0.55974843]
A1DQQ0CHG7WW3E,,[0.89240506]
A1E6CS5JV5MNGI,,[0.45]
A1EMZIYF5ZO6JB,,[0.58125]
A1F8TOJICOEVLL,,[0.5125]
A1FDT9TI1EUTUT,,[0.34459459]
A1FXGW5C0H4L3T,,[0.50625]
A1G1K9Y2EXBWCC,,[0.61392405]
A1HKYY6XI2OHO1,,[0.49006623]
A1HPHTOU79BT9H,,[0.5049505]
A1HYX9RFPAO63W,,[0.63125]
A1J1PWS99LFVPL,,[0.59375]
A1J7N95EW8EGCX,,[0.54375]
A1JX9ROLDPIVTX,,[0.5125]
A1K93WBH35CIAZ,,[0.48062016]
A1LKKR0ZJ9L1IP,,[0.51875]
A1MBOVL1252O51,,[0.54375]
A1MJ82C7YG7W89,,[0.51572327]
A1MLWVH0IE3HJ1,,[0.43312102]
A1MYJP0JHMTTHV,,[0.53741497]
A1N1N35Z156GTY,,[0.49375]
A1O57XVTTB1PNZ,,[0.4875]
A1PUIGT83JOHH6,,[0.5375]
