sid,pre accu,post accu
A10FTGEV1WR18H,,[0.74375]
A1171IQSWQS0K8,,[0.60377358]
A12GURH9VA1DSL,,[0.57232704]
A131ASOEYX40WQ,,[0.49056604]
A13FTIHWW9GE8X,,[0.66037736]
A13WYZ8AXD6ODX,,[0.56603774]
A14S8YR2HRXVNX,,[0.67924528]
A14Y8ML89H3XFL,,[0.59375]
A17FGZ1I5P9RZA,,[0.57232704]
A17UGPL6SP30TI,,[0.51282051]
A185UIGZSN2Z0K,,[0.63125]
A18R0AUVIN6WX,,[0.7375]
A18S266M02RWZU,,[0.5125]
A19AVIOBMJJFR,,[0.4625]
A19DVHPN5TEYL7,,[0.5]
A19TD2J8506A4Y,,[0.52307692]
A1AZGIX6JKKXLJ,,[0.6]
A1B3GZ82DXB3FC,,[0.63694268]
A1B58D405N5JMG,,[0.50980392]
A1C2T79XTDHE39,,[0.66875]
A1CQ0A0GDCNWQM,,[0.5625]
A1CWIZ7489ITS9,,[0.58]
A1DAMLBQ646F3K,,[0.4591195]
A1DHGKBQOKC8CC,,[0.54716981]
A1DQQ0CHG7WW3E,,[0.75949367]
A1E6CS5JV5MNGI,,[0.5875]
A1EMZIYF5ZO6JB,,[0.5125]
A1F8TOJICOEVLL,,[0.58125]
A1FDT9TI1EUTUT,,[0.37162162]
A1FXGW5C0H4L3T,,[0.4625]
A1G1K9Y2EXBWCC,,[0.60759494]
A1HKYY6XI2OHO1,,[0.47682119]
A1HPHTOU79BT9H,,[0.51485149]
A1HYX9RFPAO63W,,[0.525]
A1J1PWS99LFVPL,,[0.53125]
A1J7N95EW8EGCX,,[0.58125]
A1JX9ROLDPIVTX,,[0.5625]
A1K93WBH35CIAZ,,[0.51162791]
A1LKKR0ZJ9L1IP,,[0.5125]
A1MBOVL1252O51,,[0.525]
A1MJ82C7YG7W89,,[0.49056604]
A1MLWVH0IE3HJ1,,[0.54140127]
A1MYJP0JHMTTHV,,[0.55102041]
A1N1N35Z156GTY,,[0.50625]
A1O57XVTTB1PNZ,,[0.525]
A1PUIGT83JOHH6,,[0.71875]
A1Q2Y5NFN4VVGT,,[0.54375]
A1Q8LP6TE293F4,,[0.525]
A1QA71PIMNZWYD,,[0.50955414]
A1QCXSZJ3ZLCNY,,[0.6375]
A1QONOC90I9YMI,,[0.65625]
A1QVRDWVOPLMTS,,[0.50632911]
A1RMC2LZQUM9L6,,[0.5625]
A1SX3P1H4IWKFQ,,[0.51034483]
A1TKDVMKM4VWQ8,,[0.5408805]
A1UJ2M1AKWMNLC,,[0.56329114]
A1UY31PXAQRQ5G,,[0.44375]
A1VCX33RL5OFNY,,[0.59872611]
A1VFRCYMWGWWCZ,,[0.54605263]
A1W1QA5KGVZBLC,,[0.6]
A1XIVB0HPSFJHG,,[0.49375]
A1XUZFDVKP95VC,,[0.49375]
A1XWKA72Z23TGA,,[0.50943396]
A1YK7OG66BQXVX,,[0.54477612]
A201524B1GJWBO,,[0.46979866]
A203M04929HFP4,,[0.55696203]
A20CEJD8OX82EO,,[0.56603774]
A20VAAO3DYW5GL,,[0.57861635]
A2259HGMTESQVX,,[0.575]
A23A5GN4EU95BU,,[0.60264901]
A24KZEEOBETVFU,,[0.60625]
A24Y2BHD6TDX4Z,,[0.51875]
A2531UD0IGT731,,[0.53125]
A2545UHAWSKDVH,,[0.57931034]
A25EK5Q3R4ZHE8,,[0.4625]
A25LHXY3SAOVBV,,[0.5875]
A27EAZSYEVYSLO,,[0.62420382]
A27KDTUI0H1KJV,,[0.5375]
A286W816CMIZL9,,[0.54375]
A288RSAGJBLY9,,[0.55]
A2916ZYJKILPU9,,[0.40625]
A2A0UH228PYMNX,,[0.59477124]
A2AE610UE18R8G,,[0.66037736]
A2AJA3UXBCKD9X,,[0.49367089]
A2ATG240M7SGN7,,[0.45625]
A2B3Z92VTSGCD4,,[0.53459119]
A2BY3NK0YQO891,,[0.64150943]
A2C3NX6FY216V5,,[0.4295302]
A2C54JB2A8I1YO,,[0.52903226]
A2C9NR5DY668JU,,[0.49358974]
A2CAMPAA7650H2,,[0.68553459]
A2CFWSOCEXD81T,,[0.59493671]
A2E3O3O0PPX3IQ,,[0.68125]
A2EN2JB0M007A6,,[0.55063291]
A2FAJQUVSEXZRN,,[0.59375]
A2FN1RVZKLEV0U,,[0.60759494]
A2FS1WANWKDNDR,,[0.51592357]
A2GALIYUWAIPNV,,[0.53503185]
A2GCBL4AZI88Y4,,[0.49685535]
A2GXLM74C7BDI8,,[0.58333333]
A2HJDLSU95MH8Q,,[0.5875]
A2HRAAY4QRTM7S,,[0.575]
A2JBI6GEDB1856,,[0.61006289]
A2K6Z7C7Z6VTBF,,[0.51181102]
A2KQFLUT7652DA,,[0.5125]
A2L26DMSVUEDP6,,[0.65]
A2LO8K013TX9FA,,[0.60625]
A2LOLCBOJZ80DD,,[0.50657895]
A2MYP4G1RB2X2P,,[0.61935484]
A2P22X4GQWQ8Z1,,[0.64779874]
A2PE83MK76CRMI,,[0.5375]
A2QAJ9ZTN8YY89,,[0.58125]
A2QCJ7Y5ONXD91,,[0.70886076]
A2QPMJ4GADLUW2,,[0.62264151]
A2R1011DR8EXHQ,,[0.61184211]
A2R1LWOGQJTGRL,,[0.41139241]
A2R1YTFK72WMET,,[0.47402597]
A2REKFNIBY9O9K,,[0.55]
A2RG00DYDHIS6Q,,[0.74050633]
A2S6QOCFC3EAYH,,[0.63924051]
A2SIHWBR1S6TGF,,[0.5443038]
A2SNAXBDSA5P06,,[0.54487179]
A2TV18A7NQF6I5,,[0.61875]
A2TXUNEHPTW3Z3,,[0.60625]
A2V7UNVBF8SQAK,,[0.7625]
A2VN59CZEQ7P0R,,[0.64150943]
A2VNE375MVLU8J,,[0.59235669]
A2W02ACKYETLOA,,[0.5625]
A2WH1XDJ91OSFA,,[0.55345912]
A2YNLDUCO22THM,,[0.525]
A2YUEEOJT5NQXV,,[0.6375]
A2ZEE0T533JG2X,,[0.49056604]
A2ZOHYAWFY5TQI,,[0.5625]
A30J4IZCMCR31F,,[0.61783439]
A31IIDT1S31E25,,[0.52830189]
A31PQA4EYWSQI4,,[0.49342105]
A32156CGIMNLBM,,[0.53125]
A33UTM8NL7S0D6,,[0.56291391]
A345TDMHP3DQ3G,,[0.65625]
A34CPKFZXBX1PO,,[0.5375]
A34XR21XZ4ZPMB,,[0.52830189]
A3503625JEYO1I,,[0.70625]
A363NKR14886XG,,[0.6625]
A3654R5IHKA52J,,[0.42763158]
A36MQHIULG0E6C,,[0.56050955]
A36RRKY24M6NL8,,[0.50318471]
A36YITYE70JBQQ,,[0.6]
A37025YQUW9ACI,,[0.7625]
A373LECBA7JXKD,,[0.52229299]
A376IFMV0UCZP2,,[0.50967742]
A37PNAIK1TKLVS,,[0.70625]
A37XA1JSSYORAZ,,[0.68125]
A397NXIY82FXXD,,[0.34193548]
A399A8PB6ITVAG,,[0.46875]
