sid,pre accu,post accu
S226,,[0.5408805]
S227,,[0.5408805]
S228,,[0.44375]
S229,,[0.55625]
S230,,[0.55625]
S231,,[0.47770701]
S232,,[0.525]
S233,,[0.54375]
S234,,[0.5]
S235,,[0.52830189]
S236,,[0.70440252]
S237,,[0.65]
S238,,[0.3625]
S239,,[0.55625]
S240,,[0.5625]
S241,,[0.57961783]
S242,,[0.33774834]
S243,,[0.58125]
S244,,[0.40764331]
S245,,[0.59375]
S246,,[0.49668874]
S247,,[0.]
S248,,[0.41875]
S249,,[0.51592357]
S250,,[0.46103896]
S251,,[0.47133758]
S252,,[0.43396226]
S253,,[0.50625]
S254,,[0.53797468]
S255,,[0.4516129]
S256,,[0.58860759]
S257,,[0.71794872]
S258,,[0.46202532]
S259,,[0.45]
S260,,[0.475]
S261,,[0.45]
S262,,[0.50318471]
