sid,pre accu,post accu
A002160837SWJFPIAI7L7,,[0.68125]
A10ZJQC7W1QHIO,,[0.69426752]
A13324WUZPFTSU,,[0.67295597]
A1342JQPZWA0IZ,,[0.65]
A13I77DAQDOP0O,,[0.66878981]
A156I0UDVISMNE,,[0.68152866]
A157EF77UKOOXO,,[0.58125]
A159IA6F6H52HQ,,[0.52258065]
A15J42M6EC7Y1K,,[0.6918239]
A171WYHYRYMYQZ,,[0.66875]
A18QKM5Z69TLS,,[0.70625]
A19WXHQSBB6P6O,,[0.65625]
A1A8MBDIAQT43U,,[0.70886076]
A1AINTCOQ7NXLX,,[0.7]
A1AZLJ3R5FQ9B7,,[0.68789809]
A1B4PKGXKL7UOH,,[0.5248227]
A1B7GQTH9YG04X,,[0.73125]
A1BG47GSHQ9WSU,,[0.7625]
A1BQRDDC1NZCST,,[0.7375]
A1CDDS7NQPDMTO,,[0.5875]
A1CIEZNXXDSO6V,,[0.7375]
A1COS8FJCDM53I,,[0.5443038]
A1G9571XKHWHG3,,[0.55345912]
A1GSEK9J872N9R,,[0.70886076]
A1HFPDHBLO6KZW,,[0.5375]
A1HJV1Z4FCM0N6,,[0.5125]
A1HP506HGINWSV,,[0.7375]
A1I90G6VKLPULO,,[0.55625]
A1IN6VRNJ1GRRB,,[0.70440252]
A1JM5XNB4NCZR6,,[0.72955975]
A1K21SF4UU9I89,,[0.68181818]
A1KIL2V6SMJBGX,,[0.63924051]
A1KUHOL3DB3ON,,[0.525]
A1L69N4ECWU93U,,[0.7125]
A1L7B0F8PVW1D0,,[0.5125]
A1LCCAV2FSJTR0,,[0.57594937]
A1LQOCAT553X7G,,[0.74375]
A1MJVTR0PCKBWW,,[0.67295597]
A1OLW2WXCHKX37,,[0.65822785]
A1OZ1S22HC1MAC,,[0.55625]
A1PDF57SAMGMF0,,[0.45]
A1PMK4HE9UYJ1J,,[0.6835443]
A1PQTHY6IUEFFF,,[0.60625]
A1QAWECOJYKVO4,,[0.55696203]
A1QZKSYF6GG1LK,,[0.7]
A1RS4KNXAF23WF,,[0.69375]
A1T0S48O0CMXBC,,[0.60897436]
A1T429RLLFTG35,,[0.6375]
A1T4HSFG9NPJ23,,[0.61875]
A1UGB52LY7DEGO,,[0.82389937]
A1UKZRDH1T231M,,[0.6875]
A1V0HSH4Q63V5W,,[0.725]
A1V339VY5CNWLS,,[0.71518987]
A1VRBTDT3VJSIA,,[0.61006289]
A1W4IS5NDEFNFL,,[0.625]
A1WGEJVGY3DI13,,[0.82389937]
A1X0H6VAK3AQE9,,[0.625]
A1Y9D4RKC3BZQ3,,[0.5]
A1YCGICA8XCNBH,,[0.63522013]
A1YR0204H9JTNK,,[0.59872611]
A1Z2QEEPKEK1X1,,[0.625]
A1ZKIH8L6648NG,,[0.61875]
A20KWU6IJJX5AT,,[0.75]
A20M7MAG6N0C4D,,[0.56849315]
A2179410P3XBIQ,,[0.63125]
A2196WCNDZULFS,,[0.69375]
A21D9YDJU8K2QI,,[0.59748428]
A21HUPW67XA7UJ,,[0.73125]
A21ZK49H9LSSRY,,[0.71875]
A21ZNPDJNBKCWG,,[0.61875]
A22WWSTT8TU7G1,,[0.64375]
A22ZB2132UJB6Y,,[0.675]
A24CG5BTB8KQ39,,[0.57861635]
A25ZOL1H79DW0P,,[0.64935065]
A261ZPN1DBO1GT,,[0.66451613]
A26YJJHOW9HXUY,,[0.7]
A27NU7HHB8ONQN,,[0.50632911]
A27PP69MUCWV0J,,[0.56962025]
A27U34JQKVDTA3,,[0.65189873]
A27VDYB5VONES2,,[0.50943396]
A27ZW1CY6TMKT8,,[0.71875]
A29PKMLH38N148,,[0.72]
A2AG8QSD4IWEC9,,[0.63924051]
A2APR9RN3LEJE8,,[0.63125]
A2BLQ1GVEHJR8T,,[0.65625]
A2CVQU44JRXCKU,,[0.73584906]
A2CY1TSQ3KKP5Q,,[0.72151899]
A2DBMKJCUX09Q5,,[0.625]
A2E0X56TAIMWDQ,,[0.67088608]
A2E72ZI1VESTMR,,[0.71069182]
A2E7S35ZI3WBET,,[0.61783439]
A2ELH7YDLFNJUZ,,[0.7]
A2GU5RTKQWJXNA,,[0.50967742]
A2GVON0W6E874S,,[0.76875]
A2H0A9JR2ZDR24,,[0.70886076]
A2H557RQ3T3LPX,,[0.59872611]
A2HU1HGGYUO3X6,,[0.7625]
A2I3X8R5TE3REY,,[0.7125]
A2I43BDUPAM00C,,[0.7375]
A2IAI2N9IKLCTT,,[0.72955975]
A2INUUEUK5K065,,[0.6375]
A2JBNDG0U9IA6I,,[0.5625]
A2JD1QZEPKPD6L,,[0.63461538]
A2JJAEQ8LHRWNV,,[0.54375]
A2JOUZDN5UTBNK,,[0.47798742]
A2K6QV9HRJ4V7B,,[0.65]
A2KW17G25L25R8,,[0.59119497]
A2LJTCHPRZLGS7,,[0.68125]
A2MAME12503Y05,,[0.75]
A2MF0OZ7Q0J4UP,,[0.6625]
A2O4TQTT57L48Q,,[0.55625]
A2P8V5SKYLL5I4,,[0.6163522]
A2SEO53WD09OZP,,[0.70625]
A2V2PDSCDL2E8N,,[0.8]
A2VFBBFRHFTYOW,,[0.625]
A2VPCWI6X1QCDF,,[0.675]
A2VSUCEXMNSUF5,,[0.79617834]
A2WKY5KL3JXJEF,,[0.5875]
A2WNCSL3W1GK4M,,[0.56962025]
A2WTN1428D16MR,,[0.62179487]
A2WTNZHRALOHX8,,[0.61875]
A2XU1TSQD45EB4,,[0.69375]
A2Y9O62M75TPM6,,[0.69426752]
A2YCDNVHMPVFG6,,[0.55625]
A2YZVS6MBFQQPQ,,[0.71875]
A2Z75NJBZ46RE9,,[0.67721519]
A2ZDJLY20J6678,,[0.53125]
A2ZL0F4X30YNMV,,[0.55974843]
A2ZZ7GUR0MNWDC,,[0.66875]
A302KOFOYLD89A,,[0.6875]
A30H28F41UBJGK,,[0.64375]
A30VLIFQPJZ17P,,[0.66037736]
A30ZF45ASY02Z6,,[0.48427673]
A31545Y7L2F07S,,[0.76875]
A31PXEBRLT9LW,,[0.68987342]
A32EDXXUOTLBPP,,[0.65625]
A32LHQYJY0ELFS,,[0.67924528]
A342YLIMT6THWO,,[0.625]
A34CQE6RGU49L7,,[0.73125]
A34DYM8J0X5VK,,[0.64375]
A352HXBR7NLX96,,[0.58125]
A35QZFRG4FKK3Z,,[0.7]
A362RXUHDXF7EA,,[0.61006289]
A36EDYMS6VYHW1,,[0.53125]
A36PRTZFECB76C,,[0.61006289]
A36UNYMDBED99W,,[0.62264151]
A371H3PQPR2Z8J,,[0.69620253]
A377LTGWJKY2IW,,[0.7375]
A3793XPPZARPS3,,[0.62]
A3B2YRXL26RPVH,,[0.65408805]
A3B9QNYDDXGL9I,,[0.71875]
A3BBR5O4W6XHBV,,[0.61006289]
A3BLT959N9AEEK,,[0.55625]
A3C2DKCZLI304P,,[0.59055118]
A3C8JI69WPTKWH,,[0.725]
A3CWEN6Y21V7TL,,[0.75949367]
A3DDYGSM8CLJW,,[0.63924051]
A3E65HYKUDT1D5,,[0.62179487]
A3FJ3XMXO8UAJ0,,[0.72327044]
A3FOXS9UVYWKDP,,[0.6375]
A3G73IWKEPXRUW,,[0.48427673]
A3GHYD28ZZ3IEN,,[0.5375]
A3GMRPF5MCQVGV,,[0.725]
A3GP8FXH7J96UK,,[0.59119497]
A3GRGGYSMH5PNI,,[0.55]
A3HSONMX6LNZR4,,[0.73584906]
A3I2PT6W0FP7BR,,[0.70253165]
A3IIA92PUAI331,,[0.625]
A3IU2E7QCWYEZI,,[0.73125]
A3JAU7FJ0JJ1IU,,[0.6875]
A3JCWV0B4T0LW9,,[0.71875]
A3JDCVM1OXXOFG,,[0.78481013]
A3JPWEQUCQNQDB,,[0.60126582]
A3K5YBCBVBM3RY,,[0.67741935]
A3KTXAY9ZXOGWH,,[0.68125]
