sid,pre accu,post accu
A002160837SWJFPIAI7L7,,[0.50625]
A10ZJQC7W1QHIO,,[0.44585987]
A13324WUZPFTSU,,[0.57861635]
A1342JQPZWA0IZ,,[0.4625]
A13I77DAQDOP0O,,[0.54140127]
A156I0UDVISMNE,,[0.47770701]
A157EF77UKOOXO,,[0.49375]
A159IA6F6H52HQ,,[0.58064516]
A15J42M6EC7Y1K,,[0.44025157]
A171WYHYRYMYQZ,,[0.49375]
A18QKM5Z69TLS,,[0.4375]
A19WXHQSBB6P6O,,[0.59375]
A1A8MBDIAQT43U,,[0.56329114]
A1AINTCOQ7NXLX,,[0.55625]
A1AZLJ3R5FQ9B7,,[0.4522293]
A1B4PKGXKL7UOH,,[0.56028369]
A1B7GQTH9YG04X,,[0.4875]
A1BG47GSHQ9WSU,,[0.4]
A1BQRDDC1NZCST,,[0.48125]
A1CDDS7NQPDMTO,,[0.51875]
A1CIEZNXXDSO6V,,[0.4125]
A1COS8FJCDM53I,,[0.50632911]
A1G9571XKHWHG3,,[0.53459119]
A1GSEK9J872N9R,,[0.48734177]
A1HFPDHBLO6KZW,,[0.5]
A1HJV1Z4FCM0N6,,[0.55]
A1HP506HGINWSV,,[0.5]
A1I90G6VKLPULO,,[0.55]
A1IN6VRNJ1GRRB,,[0.5408805]
A1JM5XNB4NCZR6,,[0.46540881]
A1K21SF4UU9I89,,[0.48051948]
A1KIL2V6SMJBGX,,[0.5]
A1KUHOL3DB3ON,,[0.48125]
A1L69N4ECWU93U,,[0.53125]
A1L7B0F8PVW1D0,,[0.51875]
A1LCCAV2FSJTR0,,[0.51265823]
A1LQOCAT553X7G,,[0.49375]
A1MJVTR0PCKBWW,,[0.43396226]
A1OLW2WXCHKX37,,[0.53164557]
A1OZ1S22HC1MAC,,[0.48125]
A1PDF57SAMGMF0,,[0.51875]
A1PMK4HE9UYJ1J,,[0.4556962]
A1PQTHY6IUEFFF,,[0.5]
A1QAWECOJYKVO4,,[0.57594937]
A1QZKSYF6GG1LK,,[0.5375]
A1RS4KNXAF23WF,,[0.5125]
A1T0S48O0CMXBC,,[0.46153846]
A1T429RLLFTG35,,[0.5]
A1T4HSFG9NPJ23,,[0.45]
A1UGB52LY7DEGO,,[0.38993711]
A1UKZRDH1T231M,,[0.475]
A1V0HSH4Q63V5W,,[0.525]
A1V339VY5CNWLS,,[0.47468354]
A1VRBTDT3VJSIA,,[0.58490566]
A1W4IS5NDEFNFL,,[0.48125]
A1WGEJVGY3DI13,,[0.50943396]
A1X0H6VAK3AQE9,,[0.4875]
A1Y9D4RKC3BZQ3,,[0.47468354]
A1YCGICA8XCNBH,,[0.44654088]
A1YR0204H9JTNK,,[0.52866242]
A1Z2QEEPKEK1X1,,[0.575]
A1ZKIH8L6648NG,,[0.55625]
A20KWU6IJJX5AT,,[0.5]
A20M7MAG6N0C4D,,[0.53424658]
A2179410P3XBIQ,,[0.525]
A2196WCNDZULFS,,[0.4625]
A21D9YDJU8K2QI,,[0.3836478]
A21HUPW67XA7UJ,,[0.49375]
A21ZK49H9LSSRY,,[0.5]
A21ZNPDJNBKCWG,,[0.5375]
A22WWSTT8TU7G1,,[0.58125]
A22ZB2132UJB6Y,,[0.5375]
A24CG5BTB8KQ39,,[0.42138365]
A25ZOL1H79DW0P,,[0.4025974]
A261ZPN1DBO1GT,,[0.56129032]
A26YJJHOW9HXUY,,[0.5625]
A27NU7HHB8ONQN,,[0.48734177]
A27PP69MUCWV0J,,[0.5443038]
A27U34JQKVDTA3,,[0.48101266]
A27VDYB5VONES2,,[0.57861635]
A27ZW1CY6TMKT8,,[0.475]
A29PKMLH38N148,,[0.50666667]
A2AG8QSD4IWEC9,,[0.48734177]
A2APR9RN3LEJE8,,[0.45]
A2BLQ1GVEHJR8T,,[0.53125]
A2CVQU44JRXCKU,,[0.33333333]
A2CY1TSQ3KKP5Q,,[0.61392405]
A2DBMKJCUX09Q5,,[0.4875]
A2E0X56TAIMWDQ,,[0.5]
A2E72ZI1VESTMR,,[0.53459119]
A2E7S35ZI3WBET,,[0.51592357]
A2ELH7YDLFNJUZ,,[0.43125]
A2GU5RTKQWJXNA,,[0.52258065]
A2GVON0W6E874S,,[0.40625]
A2H0A9JR2ZDR24,,[0.44303797]
A2H557RQ3T3LPX,,[0.52229299]
A2HU1HGGYUO3X6,,[0.4375]
A2I3X8R5TE3REY,,[0.425]
A2I43BDUPAM00C,,[0.54375]
A2IAI2N9IKLCTT,,[0.43396226]
A2INUUEUK5K065,,[0.5375]
A2JBNDG0U9IA6I,,[0.50625]
A2JD1QZEPKPD6L,,[0.55128205]
A2JJAEQ8LHRWNV,,[0.41875]
A2JOUZDN5UTBNK,,[0.50314465]
A2K6QV9HRJ4V7B,,[0.63125]
A2KW17G25L25R8,,[0.46540881]
A2LJTCHPRZLGS7,,[0.5125]
A2MAME12503Y05,,[0.4125]
A2MF0OZ7Q0J4UP,,[0.51875]
A2O4TQTT57L48Q,,[0.5625]
A2P8V5SKYLL5I4,,[0.50314465]
A2SEO53WD09OZP,,[0.48125]
A2V2PDSCDL2E8N,,[0.4375]
A2VFBBFRHFTYOW,,[0.5]
A2VPCWI6X1QCDF,,[0.46875]
A2VSUCEXMNSUF5,,[0.41401274]
A2WKY5KL3JXJEF,,[0.5125]
A2WNCSL3W1GK4M,,[0.51265823]
A2WTN1428D16MR,,[0.48076923]
A2WTNZHRALOHX8,,[0.48125]
A2XU1TSQD45EB4,,[0.46875]
A2Y9O62M75TPM6,,[0.46496815]
A2YCDNVHMPVFG6,,[0.53125]
A2YZVS6MBFQQPQ,,[0.5]
A2Z75NJBZ46RE9,,[0.5]
A2ZDJLY20J6678,,[0.53125]
A2ZL0F4X30YNMV,,[0.55974843]
A2ZZ7GUR0MNWDC,,[0.4375]
A302KOFOYLD89A,,[0.4875]
A30H28F41UBJGK,,[0.525]
A30VLIFQPJZ17P,,[0.50314465]
A30ZF45ASY02Z6,,[0.51572327]
A31545Y7L2F07S,,[0.51875]
A31PXEBRLT9LW,,[0.43037975]
A32EDXXUOTLBPP,,[0.35625]
A32LHQYJY0ELFS,,[0.64150943]
A342YLIMT6THWO,,[0.5]
