sid,pre accu,post accu
A002160837SWJFPIAI7L7,,[0.75625]
A10ZJQC7W1QHIO,,[0.71974522]
A13324WUZPFTSU,,[0.66666667]
A1342JQPZWA0IZ,,[0.63125]
A13I77DAQDOP0O,,[0.61783439]
A156I0UDVISMNE,,[0.7133758]
A157EF77UKOOXO,,[0.625]
A159IA6F6H52HQ,,[0.54193548]
A15J42M6EC7Y1K,,[0.67924528]
A171WYHYRYMYQZ,,[0.6875]
A18QKM5Z69TLS,,[0.71875]
A19WXHQSBB6P6O,,[0.575]
A1A8MBDIAQT43U,,[0.72151899]
A1AINTCOQ7NXLX,,[0.69375]
A1AZLJ3R5FQ9B7,,[0.55414013]
A1B4PKGXKL7UOH,,[0.67375887]
A1B7GQTH9YG04X,,[0.725]
A1BG47GSHQ9WSU,,[0.81875]
A1BQRDDC1NZCST,,[0.65]
A1CDDS7NQPDMTO,,[0.58125]
A1CIEZNXXDSO6V,,[0.6875]
A1COS8FJCDM53I,,[0.55696203]
A1G9571XKHWHG3,,[0.5408805]
A1GSEK9J872N9R,,[0.74683544]
A1HFPDHBLO6KZW,,[0.54375]
A1HJV1Z4FCM0N6,,[0.51875]
A1HP506HGINWSV,,[0.70625]
A1I90G6VKLPULO,,[0.575]
A1IN6VRNJ1GRRB,,[0.72955975]
A1JM5XNB4NCZR6,,[0.69811321]
A1K21SF4UU9I89,,[0.66233766]
A1KIL2V6SMJBGX,,[0.71518987]
A1KUHOL3DB3ON,,[0.53125]
A1L69N4ECWU93U,,[0.7]
A1L7B0F8PVW1D0,,[0.54375]
A1LCCAV2FSJTR0,,[0.50632911]
A1LQOCAT553X7G,,[0.7125]
A1MJVTR0PCKBWW,,[0.77358491]
A1OLW2WXCHKX37,,[0.63924051]
A1OZ1S22HC1MAC,,[0.575]
A1PDF57SAMGMF0,,[0.55]
A1PMK4HE9UYJ1J,,[0.64556962]
A1PQTHY6IUEFFF,,[0.6]
A1QAWECOJYKVO4,,[0.58227848]
A1QZKSYF6GG1LK,,[0.725]
A1RS4KNXAF23WF,,[0.75]
A1T0S48O0CMXBC,,[0.6474359]
A1T429RLLFTG35,,[0.63125]
A1T4HSFG9NPJ23,,[0.66875]
A1UGB52LY7DEGO,,[0.60377358]
A1UKZRDH1T231M,,[0.8]
A1V0HSH4Q63V5W,,[0.6875]
A1V339VY5CNWLS,,[0.69620253]
A1VRBTDT3VJSIA,,[0.57861635]
A1W4IS5NDEFNFL,,[0.6]
A1WGEJVGY3DI13,,[0.62264151]
A1X0H6VAK3AQE9,,[0.6625]
A1Y9D4RKC3BZQ3,,[0.56962025]
A1YCGICA8XCNBH,,[0.63522013]
A1YR0204H9JTNK,,[0.52229299]
A1Z2QEEPKEK1X1,,[0.68125]
A1ZKIH8L6648NG,,[0.675]
A20KWU6IJJX5AT,,[0.71875]
A20M7MAG6N0C4D,,[0.50684932]
A2179410P3XBIQ,,[0.59375]
A2196WCNDZULFS,,[0.69375]
A21D9YDJU8K2QI,,[0.66037736]
A21HUPW67XA7UJ,,[0.725]
A21ZK49H9LSSRY,,[0.59375]
A21ZNPDJNBKCWG,,[0.625]
A22WWSTT8TU7G1,,[0.6375]
A22ZB2132UJB6Y,,[0.61875]
A24CG5BTB8KQ39,,[0.60377358]
A25ZOL1H79DW0P,,[0.64935065]
A261ZPN1DBO1GT,,[0.66451613]
A26YJJHOW9HXUY,,[0.64375]
A27NU7HHB8ONQN,,[0.62658228]
A27PP69MUCWV0J,,[0.57594937]
A27U34JQKVDTA3,,[0.67088608]
A27VDYB5VONES2,,[0.55345912]
A27ZW1CY6TMKT8,,[0.71875]
A29PKMLH38N148,,[0.82]
A2AG8QSD4IWEC9,,[0.69620253]
A2APR9RN3LEJE8,,[0.6125]
A2BLQ1GVEHJR8T,,[0.65]
A2CVQU44JRXCKU,,[0.66666667]
A2CY1TSQ3KKP5Q,,[0.63924051]
A2DBMKJCUX09Q5,,[0.60625]
A2E0X56TAIMWDQ,,[0.67721519]
A2E72ZI1VESTMR,,[0.61006289]
A2E7S35ZI3WBET,,[0.56050955]
A2ELH7YDLFNJUZ,,[0.7125]
A2GU5RTKQWJXNA,,[0.52903226]
A2GVON0W6E874S,,[0.775]
A2H0A9JR2ZDR24,,[0.74050633]
A2H557RQ3T3LPX,,[0.66242038]
A2HU1HGGYUO3X6,,[0.73125]
A2I3X8R5TE3REY,,[0.70625]
A2I43BDUPAM00C,,[0.65]
A2IAI2N9IKLCTT,,[0.68553459]
A2INUUEUK5K065,,[0.66875]
A2JBNDG0U9IA6I,,[0.55]
A2JD1QZEPKPD6L,,[0.68589744]
A2JJAEQ8LHRWNV,,[0.6]
A2JOUZDN5UTBNK,,[0.49056604]
A2K6QV9HRJ4V7B,,[0.53125]
A2KW17G25L25R8,,[0.57861635]
A2LJTCHPRZLGS7,,[0.56875]
A2MAME12503Y05,,[0.7625]
A2MF0OZ7Q0J4UP,,[0.71875]
A2O4TQTT57L48Q,,[0.6125]
A2P8V5SKYLL5I4,,[0.59119497]
A2SEO53WD09OZP,,[0.66875]
A2V2PDSCDL2E8N,,[0.54375]
A2VFBBFRHFTYOW,,[0.61875]
A2VPCWI6X1QCDF,,[0.68125]
A2VSUCEXMNSUF5,,[0.64968153]
A2WKY5KL3JXJEF,,[0.61875]
A2WNCSL3W1GK4M,,[0.55063291]
A2WTN1428D16MR,,[0.58974359]
A2WTNZHRALOHX8,,[0.5625]
A2XU1TSQD45EB4,,[0.7]
A2Y9O62M75TPM6,,[0.78980892]
A2YCDNVHMPVFG6,,[0.5625]
A2YZVS6MBFQQPQ,,[0.66875]
A2Z75NJBZ46RE9,,[0.64556962]
A2ZDJLY20J6678,,[0.575]
A2ZL0F4X30YNMV,,[0.55974843]
A2ZZ7GUR0MNWDC,,[0.73125]
A302KOFOYLD89A,,[0.6875]
A30H28F41UBJGK,,[0.5875]
A30VLIFQPJZ17P,,[0.68553459]
A30ZF45ASY02Z6,,[0.52830189]
A31545Y7L2F07S,,[0.68125]
A31PXEBRLT9LW,,[0.65189873]
A32EDXXUOTLBPP,,[0.61875]
A32LHQYJY0ELFS,,[0.69811321]
A342YLIMT6THWO,,[0.66875]
A34CQE6RGU49L7,,[0.73125]
A34DYM8J0X5VK,,[0.61875]
A352HXBR7NLX96,,[0.7]
A35QZFRG4FKK3Z,,[0.6625]
A362RXUHDXF7EA,,[0.59748428]
A36EDYMS6VYHW1,,[0.51875]
A36PRTZFECB76C,,[0.60377358]
A36UNYMDBED99W,,[0.62893082]
A371H3PQPR2Z8J,,[0.68987342]
A377LTGWJKY2IW,,[0.6875]
A3793XPPZARPS3,,[0.44]
A3B2YRXL26RPVH,,[0.71698113]
A3B9QNYDDXGL9I,,[0.7375]
A3BBR5O4W6XHBV,,[0.66037736]
A3BLT959N9AEEK,,[0.55]
A3C2DKCZLI304P,,[0.50393701]
A3C8JI69WPTKWH,,[0.725]
A3CWEN6Y21V7TL,,[0.69620253]
A3DDYGSM8CLJW,,[0.67088608]
A3E65HYKUDT1D5,,[0.47435897]
A3FJ3XMXO8UAJ0,,[0.70440252]
A3FOXS9UVYWKDP,,[0.60625]
A3G73IWKEPXRUW,,[0.4591195]
A3GHYD28ZZ3IEN,,[0.4875]
A3GMRPF5MCQVGV,,[0.725]
A3GP8FXH7J96UK,,[0.64779874]
A3GRGGYSMH5PNI,,[0.46875]
A3HSONMX6LNZR4,,[0.72327044]
A3I2PT6W0FP7BR,,[0.63924051]
A3IIA92PUAI331,,[0.625]
A3IU2E7QCWYEZI,,[0.675]
A3JAU7FJ0JJ1IU,,[0.71875]
A3JCWV0B4T0LW9,,[0.6875]
A3JDCVM1OXXOFG,,[0.79746835]
A3JPWEQUCQNQDB,,[0.53797468]
A3K5YBCBVBM3RY,,[0.67096774]
A3KTXAY9ZXOGWH,,[0.5875]
A3KWYUV3VSNIZA,,[0.78616352]
A3L8LSM7V7KX3T,,[0.75625]
A3LI98SL8OEDC0,,[0.43225806]
A3MTNLK7KQ89WE,,[0.6625]
A3OHYXTHW11HS7,,[0.7375]
A3OX9C8S39U9HJ,,[0.45098039]
A3PFU4042GIQLE,,[0.69032258]
A3PTOOTI7ESD5W,,[0.59375]
A3QIG18VHBXBSZ,,[0.71698113]
A3QQ2JW1N0Z49X,,[0.7625]
A3R1X7QCXV61JJ,,[0.6]
A3R5P4URN7QKU8,,[0.49375]
A3R7L5UI9IEWGD,,[0.54375]
A3RK6823JUAI1C,,[0.60625]
A3SOJ9C6L2U7AQ,,[0.63522013]
A3V5O8N34LPUSG,,[0.7625]
A3VO1VCYS30YGW,,[0.62025316]
A5BCSSPC180AG,,[0.65]
A5E2P5F1AXYZ1,,[0.65]
A5GMIA9XD9KKZ,,[0.53289474]
A5VBXI0L63405,,[0.55345912]
A5ZNFLOZ9UVUO,,[0.65625]
A5ZZAWZSH0AMK,,[0.48101266]
A6AU0NC2XUGW,,[0.49685535]
A827A0PSD3R10,,[0.6]
A8E99XNOTT390,,[0.675]
A8X1YI90JPSGP,,[0.7625]
AA3ARQT2KLA04,,[0.6625]
AB3L4DBGHX7PG,,[0.62025316]
ABF5ENVB19SC4,,[0.67295597]
ACSS93E03ZUGX,,[0.70700637]
AD1ILDUXZHASF,,[0.62585034]
ADEI2XDEX4B7Q,,[0.7]
ADL6HFLKUSQOZ,,[0.66233766]
AF24RKK9OSJNX,,[0.59119497]
AFERIASET17LW,,[0.5875]
AFNP1C7IWHEPZ,,[0.57894737]
AFSI4GMXWKC2U,,[0.64779874]
AGVDS502HYA33,,[0.475]
AH4GIBPZ4N1VO,,[0.60126582]
AHDWS7GSL9Q7C,,[0.6875]
AIZUOHKQT14OM,,[0.60377358]
AJQGWGESKQT4Y,,[0.64556962]
AJTPDPN27UCUS,,[0.7625]
AK1PBMID4RD59,,[0.675]
AK5LNLWKVISPI,,[0.55625]
ALQEVX2DSDWEQ,,[0.74375]
AM0R6CV53UZ2C,,[0.63522013]
AM1EIZHV3K7F2,,[0.56962025]
AM3HRLNKHP7QM,,[0.55696203]
AMHVH9MFHO5DE,,[0.68152866]
ANF1RX17L0KXB,,[0.59748428]
AQX9MBXJO0NRV,,[0.7]
AR2PFPOD88K62,,[0.49685535]
AR5QVMHIITZSZ,,[0.70625]
ARI1EMAHUA9PO,,[0.65408805]
AS4NIEQJWCG3M,,[0.5408805]
ASL9DJYE4F92C,,[0.68987342]
ATB61V8F7XVW4,,[0.59375]
ATHFMB8TXGNQD,,[0.55345912]
AU3AMYVBJ9DQ2,,[0.62893082]
AU9LQW279ZBNK,,[0.64375]
AUD7TLZZGCN7W,,[0.7]
AV7OKGJ2PJO30,,[0.60126582]
AVJ7MQZ6AQF5M,,[0.75625]
AVMRJOB0ZA7PB,,[0.6433121]
AWKUOA7M4P8YI,,[0.60126582]
AXOJ3M1TZ7ZWI,,[0.65605096]
AY7WPVKHVNBLG,,[0.75471698]
AYDJVEDZ1Q3DW,,[0.51470588]
AYN0TD4NTSBI3,,[0.625]
AYRJKBYXBBMCJ,,[0.65605096]
AYTH0E5PUXWX8,,[0.64779874]
AZ8KL6F16ZS7G,,[0.59748428]
AZDIKC4W8GZIJ,,[0.6163522]
