sid,pre accu,post accu
S226,,[0.5]
S227,,[0.61688312]
S228,,[0.77358491]
S229,,[0.74375]
S230,,[0.62893082]
S231,,[0.7125]
S232,,[0.65408805]
S233,,[0.59375]
S234,,[0.67515924]
S235,,[0.5625]
S236,,[0.65408805]
S237,,[0.775]
S238,,[0.69375]
S239,,[0.7]
S240,,[0.7]
S241,,[0.55696203]
S242,,[0.8]
S243,,[0.6875]
S244,,[0.66037736]
S245,,[0.58490566]
S246,,[0.63291139]
S247,,[0.48717949]
S248,,[0.63970588]
S249,,[0.5875]
S250,,[0.66666667]
S251,,[0.63694268]
