sid,pre accu,post accu
A10FTGEV1WR18H,,[0.7]
A10KUKZO8X00FX,,[0.6038961]
A10UUNGRUJH6GH,,[0.59119497]
A1171IQSWQS0K8,,[0.71069182]
A11BMO1JWTJHSH,,[0.66875]
A13RB1XEBC42IB,,[0.46451613]
A13WYZ8AXD6ODX,,[0.61006289]
A14Y8ML89H3XFL,,[0.65]
A15NB4T70DJF4A,,[0.60377358]
A15YUDP435G6GR,,[0.60509554]
A16644NV37L66P,,[0.69375]
A16MVQ4ZEI5T60,,[0.7375]
A177426A2F8DUY,,[0.72611465]
A17FGZ1I5P9RZA,,[0.74213836]
A18R0AUVIN6WX,,[0.825]
A18R8GG33EVI6C,,[0.63291139]
A18S266M02RWZU,,[0.575]
A19AVIOBMJJFR,,[0.5625]
A19JWJ0ACBROIQ,,[0.575]
A1A8MBDIAQT43U,,[0.72151899]
A1BHS3P43IEM0C,,[0.53164557]
A1C2T79XTDHE39,,[0.75]
A1C6FKYJT2GANX,,[0.6375]
A1CQ0A0GDCNWQM,,[0.6]
A1CU00SW7F9TMB,,[0.50943396]
A1D9UUBPZPYKZS,,[0.6875]
A1DHGKBQOKC8CC,,[0.64150943]
A1DQQ0CHG7WW3E,,[0.98101266]
A1EMZIYF5ZO6JB,,[0.55625]
A1F8TOJICOEVLL,,[0.71875]
A1HA5WALONI2FD,,[0.78125]
A1HKYY6XI2OHO1,,[0.51655629]
A1HMUS6WQOT9MN,,[0.65625]
A1HYU54H5V004N,,[0.725]
A1J7N95EW8EGCX,,[0.6875]
A1K93WBH35CIAZ,,[0.53488372]
A1LQQQ8MKXH4QD,,[0.73417722]
A1MBOVL1252O51,,[0.51875]
A1MH9ISP7UBIUO,,[0.6375]
A1MJ82C7YG7W89,,[0.61006289]
A1MOK8UVLG7FJK,,[0.775]
A1O57XVTTB1PNZ,,[0.69375]
A1OZ1S22HC1MAC,,[0.575]
A1PUIGT83JOHH6,,[0.7625]
A1QCXSZJ3ZLCNY,,[0.8375]
A1QEQ64E22TNUZ,,[0.7375]
A1QONOC90I9YMI,,[0.70625]
A1S88VQY8G8CNC,,[0.4625]
A1SX3P1H4IWKFQ,,[0.59310345]
A1TKDVMKM4VWQ8,,[0.52201258]
A1TSST60BO5K52,,[0.56923077]
A1U3OIZTWRI8JD,,[0.72327044]
A1UJ2M1AKWMNLC,,[0.60126582]
A1W1QA5KGVZBLC,,[0.69375]
A1W70CZDI8R80M,,[0.75]
A1XH5P1RMV9GPQ,,[0.54225352]
A1XIVB0HPSFJHG,,[0.55625]
A1XS15LSN54FGW,,[0.78616352]
A1XUZFDVKP95VC,,[0.66875]
A1XWKA72Z23TGA,,[0.50314465]
A203M04929HFP4,,[0.7721519]
A208A2GT4OHJOG,,[0.65]
A20VAAO3DYW5GL,,[0.52830189]
A222R4PNCF08OF,,[0.675]
A2259HGMTESQVX,,[0.64375]
A22DVMN2Y3XHWA,,[0.6375]
A22ZZCICZDCSTY,,[0.70700637]
A237TMG0AIG9PX,,[0.59748428]
A23A5GN4EU95BU,,[0.62913907]
A24KZEEOBETVFU,,[0.6]
A24Y2BHD6TDX4Z,,[0.55625]
A2545UHAWSKDVH,,[0.6137931]
A25LHXY3SAOVBV,,[0.70625]
A261ZPN1DBO1GT,,[0.56129032]
A26Z8M2VSEWUU4,,[0.76875]
A27YZB3G8P1DTE,,[0.76875]
A286W816CMIZL9,,[0.575]
A28JXDDPMW8IK0,,[0.5875]
A29UAE19L171DV,,[0.70625]
A2AJA3UXBCKD9X,,[0.64556962]
A2B8JGCVGBDTL5,,[0.6918239]
A2CAMPAA7650H2,,[0.7672956]
A2E3O3O0PPX3IQ,,[0.70625]
A2FAJQUVSEXZRN,,[0.6875]
A2FN0MPGK61HW,,[0.49358974]
A2FS1WANWKDNDR,,[0.54140127]
A2GALIYUWAIPNV,,[0.66242038]
A2GXLM74C7BDI8,,[0.68589744]
A2HJDLSU95MH8Q,,[0.7125]
A2HRAAY4QRTM7S,,[0.5]
A2JBI6GEDB1856,,[0.55345912]
A2JMIAOV67CPHI,,[0.725]
A2L26DMSVUEDP6,,[0.73125]
A2LO8K013TX9FA,,[0.825]
A2LSOY313QEZC5,,[0.75]
A2N1SLTD9SIVLR,,[0.5620915]
A2P22X4GQWQ8Z1,,[0.71069182]
A2P7KN8RWT4MHY,,[0.57894737]
A2PE83MK76CRMI,,[0.49375]
A2QAJ9ZTN8YY89,,[0.74375]
A2QCJ7Y5ONXD91,,[0.94303797]
A2QIX7DNN0DZY6,,[0.65]
A2QPMJ4GADLUW2,,[0.74213836]
A2R1011DR8EXHQ,,[0.59868421]
A2R1LWOGQJTGRL,,[0.55063291]
A2RG00DYDHIS6Q,,[0.94303797]
