sid,pre accu,post accu
A104V8NZIQFN2F,,[0.79874214]
A11LSO6D7BMY99,,[0.74213836]
A120PN22KW0VPY,,[0.64779874]
A12MZ6U9W9REX8,,[0.62658228]
A132MSWBBVTOES,,[0.70625]
A1342JQPZWA0IZ,,[0.63125]
A153HLAVH5FILS,,[0.7375]
A157EF77UKOOXO,,[0.58125]
A15J42M6EC7Y1K,,[0.69811321]
A171WYHYRYMYQZ,,[0.6375]
A182IHVF66SX19,,[0.5375]
A18QKM5Z69TLS,,[0.70625]
A197LCCJ6SC5RU,,[0.72955975]
A19IQ1X74EMI8R,,[0.6]
A19WXHQSBB6P6O,,[0.625]
A19YM9K2W233IM,,[0.7125]
A1AZLJ3R5FQ9B7,,[0.59235669]
A1B14CS9DW7008,,[0.72151899]
A1B4PKGXKL7UOH,,[0.4893617]
A1B7GQTH9YG04X,,[0.71875]
A1BQRDDC1NZCST,,[0.74375]
A1CDDS7NQPDMTO,,[0.6]
A1CIEZNXXDSO6V,,[0.6875]
A1CR7O77ZW0QQU,,[0.7625]
A1D81EKB5SHTMR,,[0.68987342]
A1DP4BJKMEF6LS,,[0.77358491]
A1F4TB5AD4LKLO,,[0.44585987]
A1G399CGVV8MYK,,[0.51572327]
A1G9571XKHWHG3,,[0.54716981]
A1GNV8C2792XF,,[0.64375]
A1GSEK9J872N9R,,[0.69620253]
A1GZCLBFBKWFEZ,,[0.70625]
A1HFPDHBLO6KZW,,[0.54375]
A1HP506HGINWSV,,[0.75]
A1I8VAUT4V90YR,,[0.60377358]
A1I90G6VKLPULO,,[0.53125]
A1IFIK8J49WBER,,[0.73125]
A1IN6VRNJ1GRRB,,[0.74213836]
A1JM5XNB4NCZR6,,[0.83018868]
A1JVA6HGVN1D5N,,[0.69811321]
A1KIL2V6SMJBGX,,[0.63291139]
A1L7B0F8PVW1D0,,[0.525]
A1LQOCAT553X7G,,[0.78125]
A1MJVTR0PCKBWW,,[0.63522013]
A1MZ1EU82NE0PQ,,[0.63125]
A1OLW2WXCHKX37,,[0.67088608]
A1PMK4HE9UYJ1J,,[0.65189873]
A1PQTHY6IUEFFF,,[0.5875]
A1QAWECOJYKVO4,,[0.48734177]
A1QX1RYLCFXZJ9,,[0.64150943]
A1QX6HVNTMQA2U,,[0.50625]
A1R780RJYQ68GY,,[0.51592357]
A1S1K7134S2VUC,,[0.6]
A1T0S48O0CMXBC,,[0.58974359]
A1T429RLLFTG35,,[0.63125]
A1T4HSFG9NPJ23,,[0.6125]
A1UCT0G5KXLBMU,,[0.51265823]
A1UKZRDH1T231M,,[0.69375]
A1V9PJWP5TZ7BB,,[0.56875]
A1VRBTDT3VJSIA,,[0.53459119]
