sid,pre accu,post accu
S226,,[0.49056604]
S227,,[0.74213836]
S228,,[0.73125]
S229,,[0.67088608]
S230,,[0.75625]
S231,,[0.74375]
S232,,[0.58490566]
S233,,[0.59493671]
S234,,[0.66875]
S235,,[0.6375]
S236,,[0.59235669]
S237,,[0.59375]
S238,,[0.8]
S239,,[0.5625]
S240,,[0.7125]
S241,,[0.8125]
S242,,[0.65408805]
S243,,[0.65189873]
S244,,[0.68125]
S245,,[0.71875]
S246,,[0.8375]
S247,,[0.57594937]
S248,,[0.74375]
S249,,[0.7875]
S250,,[0.65605096]
S251,,[0.69811321]
S252,,[0.50632911]
S253,,[0.65189873]
S254,,[0.74842767]
S255,,[0.58823529]
S256,,[0.5125]
S257,,[0.64375]
