Top BDI, varRNN,, varRL,,Bottom BDI, varRNN,, varRL,,Top,Ave RNN,Ave RL,Bottom,Ave RNN,Ave RL
A002160837SWJFPIAI7L7,-115.5073938,115.5073938,-76.59749144,76.59749144,A10FTGEV1WR18H,-94.48494176,94.48494176,-84.85809279,84.85809279,,-99.84161995,-96.92387076,,-100.2662144,-92.16941402
A19WXHQSBB6P6O,-109.4511495,109.4511495,-116.2268264,116.2268264,A1171IQSWQS0K8,-89.43756286,89.43756286,-81.9958575,81.9958575,,,,,,
A1GSEK9J872N9R,-94.80705434,94.80705434,-83.6712423,83.6712423,A19317A3X87NVM,-105.6938118,105.6938118,-71.77346326,71.77346326,,,,,,
A1L7B0F8PVW1D0,-121.0476962,121.0476962,-114.9002166,114.9002166,A1CQ0A0GDCNWQM,-104.0089455,104.0089455,-92.9376911,92.9376911,,,,,,
A1MJVTR0PCKBWW,-97.20615384,97.20615384,-104.9778264,104.9778264,A1NUO93OHZREC3,-106.0328247,106.0328247,-117.7969046,117.7969046,,,,,,
A1PQTHY6IUEFFF,-114.0573121,114.0573121,-111.0612747,111.0612747,A1VFRCYMWGWWCZ,-117.5342718,117.5342718,-134.6637233,134.6637233,,,,,,
A1VRBTDT3VJSIA,-118.8953108,118.8953108,-149.4634153,149.4634153,A23A5GN4EU95BU,-96.41451373,96.41451373,-93.62451766,93.62451766,,,,,,
A1Y9D4RKC3BZQ3,-116.4315852,116.4315852,-124.9710787,124.9710787,A27KDTUI0H1KJV,-78.85647159,78.85647159,-74.0294113,74.0294113,,,,,,
A1YCGICA8XCNBH,-95.56092871,95.56092871,-84.54985241,84.54985241,A2AJA3UXBCKD9X,-117.1625263,117.1625263,-117.9847257,117.9847257,,,,,,
A2196WCNDZULFS,-85.85794284,85.85794284,-70.65557198,70.65557198,A2B8JGCVGBDTL5,-94.86558499,94.86558499,-81.37563965,81.37563965,,,,,,
A21ZK49H9LSSRY,-90.47000542,90.47000542,-82.73959979,82.73959979,A2CAMPAA7650H2,-76.96139266,76.96139266,-67.80266301,67.80266301,,,,,,
A26YJJHOW9HXUY,-86.65810154,86.65810154,-73.20996578,73.20996578,A2GXLM74C7BDI8,-106.126517,106.126517,-83.33384517,83.33384517,,,,,,
A27VDYB5VONES2,-122.5182498,122.5182498,-132.8996799,132.8996799,A2HJDLSU95MH8Q,-84.64089606,84.64089606,-73.49060306,73.49060306,,,,,,
A2CY1TSQ3KKP5Q,-95.84070571,95.84070571,-83.44149197,83.44149197,A2OLSZ6DD9I239,-85.65365924,85.65365924,-76.30530308,76.30530308,,,,,,
A2DBMKJCUX09Q5,-98.66316669,98.66316669,-107.2540203,107.2540203,A2S6QOCFC3EAYH,-98.36251579,98.36251579,-81.59692585,81.59692585,,,,,,
A2H0A9JR2ZDR24,-84.82614397,84.82614397,-85.7536757,85.7536757,A2WQPFE3ZGE5N8,-86.87594654,86.87594654,-70.75499907,70.75499907,,,,,,
A2I3X8R5TE3REY,-86.73240172,86.73240172,-79.63686405,79.63686405,A2WSVHUR3V9TTJ,-104.264151,104.264151,-77.40143583,77.40143583,,,,,,
A2I43BDUPAM00C,-90.66487483,90.66487483,-82.76100626,82.76100626,A2WZ71TT9AJPV,-114.5862288,114.5862288,-104.7608387,104.7608387,,,,,,
A2KW17G25L25R8,-109.5211733,109.5211733,-110.7913445,110.7913445,A34CPKFZXBX1PO,-92.69641388,92.69641388,-73.82378909,73.82378909,,,,,,
A2O4TQTT57L48Q,-99.24482435,99.24482435,-81.05637903,81.05637903,A36YITYE70JBQQ,-105.8177585,105.8177585,-85.76177507,85.76177507,,,,,,
A2VFBBFRHFTYOW,-99.86721524,99.86721524,-83.80116951,83.80116951,A376DD71XY793G,-85.98258228,85.98258228,-80.38888123,80.38888123,,,,,,
A2VSUCEXMNSUF5,-98.3926653,98.3926653,-137.944956,137.944956,A3CDWPBKYDDASL,-127.8301276,127.8301276,-122.3181367,122.3181367,,,,,,
A2Y9O62M75TPM6,-87.52983155,87.52983155,-91.64512475,91.64512475,A3DUAHX5VT0ZMY,-102.8589826,102.8589826,-92.84084756,92.84084756,,,,,,
A2Z75NJBZ46RE9,-93.88826908,93.88826908,-79.17433933,79.17433933,A3KKY9HXZRRAIV,-74.27476876,74.27476876,-82.966312,82.966312,,,,,,
A30H28F41UBJGK,-109.6659072,109.6659072,-117.7273963,117.7273963,A3MLNAZCS0Y2QP,-102.4075453,102.4075453,-64.69630949,64.69630949,,,,,,
A31PXEBRLT9LW,-93.81624229,93.81624229,-93.87308554,93.87308554,A3N62A1YVDMKS5,-116.7941707,116.7941707,-113.9663938,113.9663938,,,,,,
A34CQE6RGU49L7,-75.85542377,75.85542377,-92.80783042,92.80783042,A3NI2W5HH47HP6,-81.06889239,81.06889239,-73.10949119,73.10949119,,,,,,
A36PRTZFECB76C,-99.8443202,99.8443202,-83.02495545,83.02495545,A3O9J3V0K06IP2,-121.970908,121.970908,-121.8866157,121.8866157,,,,,,
