id, varRNN, varRL
A104V8NZIQFN2F, -136.4010405321808, -202.71895452367227
A116ZI03NFKZP2, -105.72995450180072, -109.12609333682758
A12YRP4B70IFU3, -118.92099019318856, -121.66854791668074
A132MSWBBVTOES, -143.61012714875898, -195.40310862507357
A153HLAVH5FILS, -133.3131381074819, -136.48768537480896
A156I0UDVISMNE, -124.64628834270789, -173.24303229725945
A171WYHYRYMYQZ, -116.84347453009256, -150.28794242193086
A197LCCJ6SC5RU, -139.80536125715844, -324.52048267292486
A19TD2J8506A4Y, -95.06824025904633, -89.92296021809476
A19WXHQSBB6P6O, -120.25821066430409, -116.93298983111171
A19YM9K2W233IM, -146.40932920303104, -194.44696894892147
A1AZLJ3R5FQ9B7, -126.77394435641311, -113.36531160032372
A1B4PKGXKL7UOH, -101.665924783947, -105.97410857356152
A1B7GQTH9YG04X, -115.44590221180164, -186.30664993952195
A1BG47GSHQ9WSU, -124.82240493432407, -274.9672881597294
A1BS578UP5XCAR, -136.03139832399367, -110.48273264081449
A1C2T79XTDHE39, -137.9357163891104, -154.53420546082688
A1CIEZNXXDSO6V, -143.58476506209894, -215.3688294386896
A1CR7O77ZW0QQU, -135.7174354537127, -161.29382185805483
A1GNV8C2792XF, -117.98824889013166, -114.63237669611475
A1GSEK9J872N9R, -111.01073068072739, -141.92546405018953
A1HA5WALONI2FD, -140.1894426372919, -206.2274988125883
A1HFPDHBLO6KZW, -107.30571437248017, -113.29171679991224
A1HP506HGINWSV, -138.3659674854199, -177.6591057059684
A1I8VAUT4V90YR, -136.5479650949216, -122.16368504493562
A1J7N95EW8EGCX, -124.00214945659134, -150.68893446333337
A1J9OZZ1LDG8VN, -110.49164842725939, -117.52399964635721
A1KFV732TWXROL, -115.18851232984585, -117.895812393906
A1KIL2V6SMJBGX, -115.92407651582069, -125.18893485887808
A1L7B0F8PVW1D0, -121.36448768864831, -112.83233114798298
A1LKKR0ZJ9L1IP, -109.93422927280088, -110.70778710692127
A1LSFPPDGORPB0, -127.2951506941634, -129.90458712898675
A1M1E62KXCDNL0, -114.83020206400761, -118.73173582956855
A1MJVTR0PCKBWW, -117.02190995036139, -111.7690959231122
A1MT52IO9GBZ1M, -107.04593313592973, -110.79364691797042
A1P3HHEXWNLJMP, -150.069668287778, -254.86424235061295
A1QAWECOJYKVO4, -116.20805766566433, -111.03757701501901
A1QX1RYLCFXZJ9, -129.60522097568122, -159.13706193559156
A1T429RLLFTG35, -123.68773371838296, -142.2250622195507
A1T4HSFG9NPJ23, -128.07552192756287, -132.21167217283485
A1UKZRDH1T231M, -113.05473628807513, -175.71599437651255
A1V339VY5CNWLS, -140.3884622996538, -152.59986450109471
A1VRBTDT3VJSIA, -123.52431824214096, -110.40200376382765
A1W4IS5NDEFNFL, -137.38910650508717, -137.9657635982692
A1WSCND5HZZV5N, -115.89260850459681, -178.2770111728851
A1XE5G7H6AO5HH, -146.9011088566932, -138.67197323791112
A1XU9GFZAGFJ5B, -142.87277593579134, -238.9492841328082
A1XUZFDVKP95VC, -147.09118073806613, -145.8729849021483
A1YCGICA8XCNBH, -138.31764566368022, -176.0920086586152
A1YXTSIV0YB8RW, -110.22989269795237, -110.18919428822231
A1Z2QEEPKEK1X1, -127.79505930067222, -113.59746326759631
A1ZNMX8WJCDKQQ, -122.01970995056509, -132.9532861115919
A20KWU6IJJX5AT, -152.25595001912149, -218.81807322235798
A20VAAO3DYW5GL, -114.52468088645062, -110.0391963295581
A2179410P3XBIQ, -115.88198671779581, -141.19632293033104
A21HUPW67XA7UJ, -139.57227620422415, -166.50170079075676
A21WXJDPT7I70M, -118.19707073186471, -206.08054395284398
A21ZK49H9LSSRY, -121.56466519857585, -160.97325671066903
A21ZNPDJNBKCWG, -125.56565485969895, -134.76882343246368
A22CPS48MSR1OQ, -144.86785893023378, -219.06176177810792
A22DDO8NILSX6O, -141.98268291544218, -130.49076228637753
A22DVMN2Y3XHWA, -128.79988610360638, -151.66116773162324
A22WWSTT8TU7G1, -127.20732852369657, -142.99413946338777
A22ZB2132UJB6Y, -118.56514737329556, -122.47680842026254
A22ZZCICZDCSTY, -109.90873585781448, -150.54988412484207
A235ULDV4XUVDM, -116.14542455719324, -116.0753055077276
A24CG5BTB8KQ39, -114.2161334968396, -110.85135612751174
A24FB6EEAEZKA4, -113.11192440655398, -156.82033723467504
A2531UD0IGT731, -146.71427060717747, -145.58011755380156
A25LHXY3SAOVBV, -113.87940414930495, -154.0410860091832
A26YJJHOW9HXUY, -139.907461083668, -185.37167505745504
A26Z8M2VSEWUU4, -150.782173899591, -172.9816165324771
A27ZW1CY6TMKT8, -130.47044216702471, -168.07301344603349
A288RSAGJBLY9, -111.13851422641432, -135.64268419079104
A2AWSN5CWONM8, -131.4008862710806, -138.9926063574524
A2BLQ1GVEHJR8T, -115.27571984513389, -145.203295724962
A2CJNNTLFULCTH, -138.65807597421136, -157.08245981350584
A2CWA5VQZ6IWMQ, -106.612470904978, -148.9252326684226
A2DOMBSKO75VV7, -124.84009281884859, -147.33736237062155
A2DU0TGJDZWUCV, -147.35335716702755, -201.98213590261625
A2E72ZI1VESTMR, -138.6099713569734, -130.5896433914961
A2E7S35ZI3WBET, -123.86521352632481, -120.45686355691713
A2FN0MPGK61HW, -123.21328081714212, -110.26834306113784
A2FUQER3KRIXYJ, -136.53383655908056, -199.0156873738015
A2G53Y36QD1ZGV, -139.79037042527352, -165.38863331846997
A2GL2Y13IGLHLK, -122.59737141664796, -110.14936258401491
A2GVON0W6E874S, -143.40723499068704, -256.15682440455925
A2H0A9JR2ZDR24, -118.32952014335609, -140.3650476624463
A2H6Q22X1V1FTX, -144.13164301087946, -197.6075160454701
A2HJDLSU95MH8Q, -141.83385522838003, -180.34548313793934
A2I14UHUQIH4L0, -116.52906435250043, -165.8984079092553
