id, varRNN, varRL
A10FTGEV1WR18H, -130.66536264239218, -144.99186069467845
A1171IQSWQS0K8, -124.14934561087459, -150.58467548481738
A12GURH9VA1DSL, -135.4649424976438, -110.2000624459549
A131ASOEYX40WQ, -81.51752731094378, -74.2647701205667
A13FTIHWW9GE8X, -153.7492987198053, -126.02908262596571
A13WYZ8AXD6ODX, -41.14139354216467, -107.76697745795246
A14S8YR2HRXVNX, -664.3009436279731, -109.85140409323907
A14Y8ML89H3XFL, -142.38528860971056, -115.23928886481842
A17FGZ1I5P9RZA, -137.2643937579993, -200.8381646698187
A17UGPL6SP30TI, -118.51422504086214, -108.23630776099546
A185UIGZSN2Z0K, -120.22271826957014, -142.25758226337163
A18R0AUVIN6WX, -137.9688437648118, -227.893304104574
A18S266M02RWZU, -109.4426670125092, -111.44634846311918
A19AVIOBMJJFR, -137.79874392711267, -112.25325940980575
A19DVHPN5TEYL7, -121.47859264939123, -111.06198576630923
A19TD2J8506A4Y, -107.2795459575133, -89.92296021809476
A1AZGIX6JKKXLJ, -154.2394501620012, -111.60788038204558
A1B3GZ82DXB3FC, -125.57255986106358, -166.42785219926378
A1B58D405N5JMG, -120.91691898273702, -105.92702592070673
A1C2T79XTDHE39, -125.37727238877743, -154.53420546082688
A1CQ0A0GDCNWQM, -124.27687688771404, -145.25751346028508
A1CWIZ7489ITS9, -113.89540367334479, -106.99909087321507
A1DAMLBQ646F3K, -131.82087533020885, -110.25070518071851
A1DHGKBQOKC8CC, -97.98077857305732, -125.70507029097357
A1DQQ0CHG7WW3E, -892.2258351180787, -111.08545185625283
A1E6CS5JV5MNGI, -130.33149017578955, -121.3738549559887
A1EMZIYF5ZO6JB, -134.83575740880985, -111.28749952838882
A1F8TOJICOEVLL, -125.02035302771203, -153.39574761500748
A1FDT9TI1EUTUT, -84.61379741695838, -105.8766734980453
A1FXGW5C0H4L3T, -128.2796887473416, -110.80463992802764
A1G1K9Y2EXBWCC, -127.16737391866688, -116.03369530240838
A1HKYY6XI2OHO1, -113.96141614276742, -107.01940168249114
A1HPHTOU79BT9H, -83.13580088070577, -70.32535029016798
A1HYX9RFPAO63W, -136.39904515320714, -110.57909940057661
A1J1PWS99LFVPL, -133.7743075858454, -110.8755799004287
A1J7N95EW8EGCX, -125.06353956335325, -150.68893446333337
A1JX9ROLDPIVTX, -132.68086562825513, -169.38376542901327
A1K93WBH35CIAZ, -93.14041101865256, -89.48275996367491
A1LKKR0ZJ9L1IP, -130.30579184949403, -110.70778710692127
A1MBOVL1252O51, -134.42248971826655, -110.78401643107725
A1MJ82C7YG7W89, -133.65686157752697, -116.76843303709568
A1MLWVH0IE3HJ1, -110.89384505273713, -109.02885250376833
A1MYJP0JHMTTHV, -107.09906836426181, -101.86602197701893
A1N1N35Z156GTY, -122.99302175776319, -111.16304931993014
A1O57XVTTB1PNZ, -123.88117228758802, -150.5248111236599
A1PUIGT83JOHH6, -134.6195029436484, -138.41957711034
A1Q2Y5NFN4VVGT, -89.71788966086592, -112.67224802845382
A1Q8LP6TE293F4, -123.17489112417012, -113.06231139712399
A1QA71PIMNZWYD, -123.77040025691505, -110.16566267796082
A1QCXSZJ3ZLCNY, -133.9349833522489, -218.3016131239193
A1QONOC90I9YMI, -111.1754295230929, -143.27306215179377
A1QVRDWVOPLMTS, -122.0871760135968, -109.49365057223758
A1RMC2LZQUM9L6, -132.16964128700417, -163.0969331274325
A1SX3P1H4IWKFQ, -62.92161488452484, -100.79249111890316
A1TKDVMKM4VWQ8, -131.74292314878198, -110.3252897890407
A1UJ2M1AKWMNLC, -138.41072073686246, -110.64398727016713
A1UY31PXAQRQ5G, -120.29076058954264, -111.06989456001942
A1VCX33RL5OFNY, -60.44076774466583, -108.34537794946688
A1VFRCYMWGWWCZ, -115.05478782736388, -105.32398312745316
A1W1QA5KGVZBLC, -111.95459390157812, -144.85854133355798
A1XIVB0HPSFJHG, -111.9095950713444, -111.49949731009463
A1XUZFDVKP95VC, -131.59451973208184, -145.8729849021483
A1XWKA72Z23TGA, -144.34010449231022, -110.35852952970497
A1YK7OG66BQXVX, -113.20279413755077, -93.27158236095394
A201524B1GJWBO, -113.56833977661796, -103.20581581130605
A203M04929HFP4, -132.1921099685115, -165.0753381411638
A20CEJD8OX82EO, -141.96245686815726, -110.0021307598144
A20VAAO3DYW5GL, -128.56086808766094, -110.0391963295581
A2259HGMTESQVX, -119.39156036949493, -140.83412158154144
A23A5GN4EU95BU, -103.02518433758294, -110.47457543984709
A24KZEEOBETVFU, -130.25710365732974, -110.8250432629918
A24Y2BHD6TDX4Z, -133.35894496583168, -110.90261660068269
A2531UD0IGT731, -151.1260832419881, -145.58011755380156
A2545UHAWSKDVH, -125.36935833302856, -104.72018490855667
A25EK5Q3R4ZHE8, -123.99377511203993, -110.9093618317883
A25LHXY3SAOVBV, -112.36819355555933, -154.0410860091832
A27EAZSYEVYSLO, -142.67749638246912, -110.20598883518186
A27KDTUI0H1KJV, -130.12172085961484, -192.90821373815365
A286W816CMIZL9, -133.01432077140637, -110.77500080817393
A288RSAGJBLY9, -113.8447155691527, -135.64268419079104
A2916ZYJKILPU9, -95.13455075012716, -88.66428241385675
A2A0UH228PYMNX, -140.42140913444499, -113.6677405554481
A2AE610UE18R8G, -124.11143038095824, -110.09056654372708
A2AJA3UXBCKD9X, -152.75352924346163, -111.690333921526
A2ATG240M7SGN7, -103.3264070124014, -110.803115857027
A2B3Z92VTSGCD4, -126.71931937698025, -130.46363701910957
A2BY3NK0YQO891, -252.9847939577087, -110.48297482366496
A2C3NX6FY216V5, -95.87976828828096, -102.8342085202706
A2C54JB2A8I1YO, -123.19176371126798, -113.63126029583728
A2C9NR5DY668JU, -127.36272346824988, -109.2129378918538
A2CAMPAA7650H2, -122.17899891353035, -223.51843673201046
A2CFWSOCEXD81T, -160.18207062552096, -109.66730824996051
A2E3O3O0PPX3IQ, -109.92405521940128, -143.62130762172737
