id, varRNN, varRL
A002160837SWJFPIAI7L7, -112.64350189669294, -195.21292281437925
A10ZJQC7W1QHIO, -109.68930816973996, -171.53180890367744
A13324WUZPFTSU, -98.2653203104076, -111.0372264648453
A1342JQPZWA0IZ, -122.74572331242388, -137.06291533603374
A13I77DAQDOP0O, -110.80929259102719, -172.34763121933227
A156I0UDVISMNE, -97.60448595249291, -173.24303229725945
A157EF77UKOOXO, -89.58114259475121, -118.1408385820832
A159IA6F6H52HQ, -96.00321284113924, -107.73590771312104
A15J42M6EC7Y1K, -103.01476370095976, -168.70228974782736
A171WYHYRYMYQZ, -91.68999219963874, -150.28794242193086
A18QKM5Z69TLS, -95.9442289776585, -137.98053261690325
A19WXHQSBB6P6O, -98.42690027949534, -116.93298983111171
A1A8MBDIAQT43U, -104.13094334343911, -140.49710952558922
A1AINTCOQ7NXLX, -119.89016443246956, -253.62797551937422
A1AZLJ3R5FQ9B7, -129.26971242055293, -113.36531160032372
A1B4PKGXKL7UOH, -88.81983862010722, -105.97410857356152
A1B7GQTH9YG04X, -102.35069520458626, -186.30664993952195
A1BG47GSHQ9WSU, -104.1794770653759, -274.9672881597294
A1BQRDDC1NZCST, -113.77361291163075, -229.54211249681515
A1CDDS7NQPDMTO, -106.73990685579624, -119.93579158274156
A1CIEZNXXDSO6V, -110.7455837825236, -215.3688294386896
A1COS8FJCDM53I, -91.96076611521505, -111.03648871739851
A1G9571XKHWHG3, -107.07815016911333, -110.95742486065141
A1GSEK9J872N9R, -89.01796117628736, -141.92546405018953
A1HFPDHBLO6KZW, -98.06521502756881, -113.29171679991224
A1HJV1Z4FCM0N6, -97.05886991971634, -110.7197687447843
A1HP506HGINWSV, -106.07652303230121, -177.6591057059684
A1I90G6VKLPULO, -89.56266333113857, -110.69598880985382
A1IN6VRNJ1GRRB, -103.94900985638105, -185.93881911392918
A1JM5XNB4NCZR6, -115.16229293211529, -188.2929250502279
A1K21SF4UU9I89, -98.79778680692499, -107.92130334780983
A1KIL2V6SMJBGX, -117.30663297842744, -125.18893485887808
A1KUHOL3DB3ON, -105.06309549805141, -111.03896873108147
A1L69N4ECWU93U, -111.78380535728883, -221.8159682295723
A1L7B0F8PVW1D0, -105.22921687882453, -112.83233114798298
A1LCCAV2FSJTR0, -104.09491316502066, -110.02043495363122
A1LQOCAT553X7G, -109.01574752182673, -208.01600962418385
A1MJVTR0PCKBWW, -89.51643942785127, -111.7690959231122
A1OLW2WXCHKX37, -94.47494089131902, -116.98264646822538
A1OZ1S22HC1MAC, -85.15732961873329, -110.72615149093527
A1PDF57SAMGMF0, -87.02540575919151, -110.84641191659279
A1PMK4HE9UYJ1J, -103.2643888243977, -120.83762594599067
A1PQTHY6IUEFFF, -103.3416358122508, -115.6276014740066
A1QAWECOJYKVO4, -101.50774366349896, -111.03757701501901
A1QZKSYF6GG1LK, -85.77835804798548, -161.06478506075234
A1RS4KNXAF23WF, -114.62337782368375, -143.049730412464
A1T0S48O0CMXBC, -111.08947544766224, -116.33092475537943
A1T429RLLFTG35, -111.88159205153083, -142.2250622195507
A1T4HSFG9NPJ23, -119.74264222187917, -132.21167217283485
A1UGB52LY7DEGO, -312.4339607003122, -110.66970892480593
A1UKZRDH1T231M, -89.69605197076926, -175.71599437651255
A1V0HSH4Q63V5W, -101.4590135558841, -196.56937290678104
A1V339VY5CNWLS, -105.07664766017663, -152.59986450109471
A1VRBTDT3VJSIA, -92.02494132767605, -110.40200376382765
A1W4IS5NDEFNFL, -105.50342837785138, -137.9657635982692
A1WGEJVGY3DI13, -245.21249008279761, -114.89369203106531
A1X0H6VAK3AQE9, -105.54260292038597, -159.44828024886596
A1Y9D4RKC3BZQ3, -91.32427971299121, -110.61055242559237
A1YCGICA8XCNBH, -112.96157297031175, -176.0920086586152
A1YR0204H9JTNK, -118.37538277839137, -113.56780099547325
A1Z2QEEPKEK1X1, -101.30143850716334, -113.59746326759631
A1ZKIH8L6648NG, -102.41136064442004, -186.80268848186802
A20KWU6IJJX5AT, -114.49937675801282, -218.81807322235798
A20M7MAG6N0C4D, -107.55024246658256, -101.7997213691937
A2179410P3XBIQ, -100.34687925971963, -141.19632293033104
A2196WCNDZULFS, -115.93008045142322, -233.1834670220727
A21D9YDJU8K2QI, -115.16480598963398, -126.4865083715174
A21HUPW67XA7UJ, -109.5927275805472, -166.50170079075676
A21ZK49H9LSSRY, -112.72328053769061, -160.97325671066903
A21ZNPDJNBKCWG, -102.35839558465136, -134.76882343246368
A22WWSTT8TU7G1, -101.14892105860207, -142.99413946338777
A22ZB2132UJB6Y, -100.04195047297911, -122.47680842026254
A24CG5BTB8KQ39, -87.51941644434707, -110.85135612751174
A25ZOL1H79DW0P, -102.27409268349926, -141.60763543187645
A261ZPN1DBO1GT, -92.66833505823917, -107.01164081498918
A26YJJHOW9HXUY, -115.09179609009135, -185.37167505745504
A27NU7HHB8ONQN, -148.79689686987896, -109.92578261974282
A27PP69MUCWV0J, -103.89474502813395, -110.0261309959125
A27U34JQKVDTA3, -107.53796130866522, -125.77618987222505
A27VDYB5VONES2, -97.05455897197146, -111.42346010487245
A27ZW1CY6TMKT8, -102.99965431323591, -168.07301344603349
A29PKMLH38N148, -102.14737863523216, -152.72819594565246
A2AG8QSD4IWEC9, -100.6671543181969, -140.82779414241816
A2APR9RN3LEJE8, -109.44266778033834, -143.96774584851218
A2BLQ1GVEHJR8T, -87.45507329470384, -145.203295724962
A2CVQU44JRXCKU, -75.68797509953913, -107.93782482223155
A2CY1TSQ3KKP5Q, -86.61319137109412, -152.75949562013204
A2DBMKJCUX09Q5, -120.53828679849963, -121.88929268365335
A2E0X56TAIMWDQ, -96.88253719003606, -136.64544928341138
A2E72ZI1VESTMR, -107.46857312162899, -130.5896433914961
A2E7S35ZI3WBET, -115.44306202810282, -120.45686355691713
A2ELH7YDLFNJUZ, -106.20918025263518, -187.4370059774337
A2GU5RTKQWJXNA, -92.9185045280208, -107.3469313816449
A2GVON0W6E874S, -114.08984590813398, -256.15682440455925
A2H0A9JR2ZDR24, -92.95971475216383, -140.3650476624463
A2H557RQ3T3LPX, -96.79960121393478, -109.07666440940206
A2HU1HGGYUO3X6, -105.88349973544805, -202.6678604777021
A2I3X8R5TE3REY, -105.81907797772767, -185.97308597889034
A2I43BDUPAM00C, -116.49656596914959, -164.09906192386262
A2IAI2N9IKLCTT, -88.01539015020307, -110.2561959780871
A2INUUEUK5K065, -92.23024088059758, -110.92007083969081
A2JBNDG0U9IA6I, -84.19769348843882, -111.83560519866067
A2JD1QZEPKPD6L, -94.97378737179704, -122.30383177979031
A2JJAEQ8LHRWNV, -118.07429487914021, -136.59998643771297
A2JOUZDN5UTBNK, -111.4928383524596, -110.44872239456411
A2K6QV9HRJ4V7B, -120.00476146739268, -111.34829096022428
A2KW17G25L25R8, -92.22552840286438, -111.95969013976766
A2LJTCHPRZLGS7, -129.1797723172972, -171.83015166508744
A2MAME12503Y05, -111.43879589913612, -218.43901468591525
A2MF0OZ7Q0J4UP, -88.94903973173246, -132.4482104736924
A2O4TQTT57L48Q, -89.69851876444827, -146.9520423226739
A2P8V5SKYLL5I4, -101.43834283564134, -111.11880233222804
A2SEO53WD09OZP, -112.2601182572485, -171.18012379908564
A2V2PDSCDL2E8N, -150.0690198199805, -111.02098426362593
A2VFBBFRHFTYOW, -83.73985164338933, -139.18919427681251
A2VPCWI6X1QCDF, -99.36188335771672, -169.48638838708328
A2VSUCEXMNSUF5, -84.59507508968694, -109.20132938311698
A2WKY5KL3JXJEF, -99.40363197528016, -112.01254388923437
A2WNCSL3W1GK4M, -96.29327479647196, -108.89547017830162
A2WTN1428D16MR, -109.25524782861062, -152.57343705342893
A2WTNZHRALOHX8, -99.55110824408251, -112.2753007508393
A2XU1TSQD45EB4, -89.4673901834802, -166.47737288523854
A2Y9O62M75TPM6, -89.12785490074133, -128.49233692249808
A2YCDNVHMPVFG6, -100.59567355637239, -114.23254709168596
A2YZVS6MBFQQPQ, -121.46120988465806, -181.1298273295907
A2Z75NJBZ46RE9, -111.51616444150203, -183.2188989399946
A2ZDJLY20J6678, -110.15313907733454, -111.0634388314971
A2ZL0F4X30YNMV, -96.521121238902, -110.13967131384129
A2ZZ7GUR0MNWDC, -91.20276312936194, -138.02572771630997
A302KOFOYLD89A, -100.46420621247421, -145.6978135499651
A30H28F41UBJGK, -120.82823063332432, -112.89095100222147
A30VLIFQPJZ17P, -106.76363228782225, -128.17938047227653
A30ZF45ASY02Z6, -103.54343724642992, -110.89636468314242
A31545Y7L2F07S, -118.98174800291676, -270.0519287152421
A31PXEBRLT9LW, -95.19534844128583, -121.37643943022378
A32EDXXUOTLBPP, -91.26983851802088, -114.80367618127265
A32LHQYJY0ELFS, -94.65927678417538, -123.20121500167572
A342YLIMT6THWO, -98.32331072986602, -125.97554281374646
A34CQE6RGU49L7, -105.54337210683917, -139.41275244322443
A34DYM8J0X5VK, -118.75242856662177, -126.05626761317525
