id, varRNN, varRL
A10FTGEV1WR18H, -147.56092531420862, -144.99186069467845
A10KUKZO8X00FX, -128.00883603996644, -106.10266893393454
A10UUNGRUJH6GH, -111.20310836402585, -113.36180606625835
A1171IQSWQS0K8, -138.89054210915404, -150.58467548481738
A11BMO1JWTJHSH, -144.559149697716, -148.04439373786622
A13RB1XEBC42IB, -121.07354851841187, -107.67970356225908
A13WYZ8AXD6ODX, -110.37068731635001, -107.76697745795246
A14Y8ML89H3XFL, -170.0478439380252, -115.23928886481842
A15NB4T70DJF4A, -133.59966533372224, -110.28593369106109
A15YUDP435G6GR, -128.00698983488732, -109.37301523439982
A16644NV37L66P, -146.5472831435631, -141.81609883209137
A16MVQ4ZEI5T60, -153.5508682353204, -219.54498420141206
A177426A2F8DUY, -134.33315808704756, -128.73416933231948
A17FGZ1I5P9RZA, -158.03488387115064, -200.8381646698187
A18R0AUVIN6WX, -168.15266005967672, -227.893304104574
A18R8GG33EVI6C, -124.53157199341322, -133.81148718234647
A18S266M02RWZU, -121.20021944457469, -111.44634846311918
A19AVIOBMJJFR, -135.1436076759784, -112.25325940980575
A19JWJ0ACBROIQ, -132.4087827205047, -111.1265160735442
A1A8MBDIAQT43U, -145.0617647300361, -140.49710952558922
A1BHS3P43IEM0C, -144.73939035200686, -110.0735832189609
A1C2T79XTDHE39, -148.57047782736413, -154.53420546082688
A1C6FKYJT2GANX, -126.46610769124682, -120.66263180839115
A1CQ0A0GDCNWQM, -142.80503720615638, -145.25751346028508
A1CU00SW7F9TMB, -132.63411939874314, -110.32688874297791
A1D9UUBPZPYKZS, -153.0711525966287, -205.45483831557914
A1DHGKBQOKC8CC, -114.68079817857446, -125.70507029097357
A1DQQ0CHG7WW3E, -652.1050807054659, -111.08545185625283
A1EMZIYF5ZO6JB, -160.83650757321772, -111.28749952838882
A1F8TOJICOEVLL, -141.7532536869244, -153.39574761500748
A1HA5WALONI2FD, -151.4578910101881, -206.2274988125883
A1HKYY6XI2OHO1, -138.92035855961964, -107.01940168249114
A1HMUS6WQOT9MN, -142.16401411267233, -142.9017411935801
A1HYU54H5V004N, -141.89781836900065, -200.1024787466586
A1J7N95EW8EGCX, -135.28438037055741, -150.68893446333337
A1K93WBH35CIAZ, -107.6977847833904, -89.48275996367491
A1LQQQ8MKXH4QD, -130.25823140200674, -134.2251496955892
A1MBOVL1252O51, -163.041438421379, -110.78401643107725
A1MH9ISP7UBIUO, -132.37898013744254, -123.16156912812467
A1MJ82C7YG7W89, -144.43462232489526, -116.76843303709568
A1MOK8UVLG7FJK, -145.7316781656349, -174.91593248865385
