id, varRNN, varRL
A104V8NZIQFN2F, -128.9740665603687, -202.71895452367227
A11LSO6D7BMY99, -134.10139867803738, -154.94720457936234
A120PN22KW0VPY, -143.35897199077104, -127.72124030612304
A12MZ6U9W9REX8, -126.90360266752124, -113.31811386239532
A132MSWBBVTOES, -144.1366128079135, -195.40310862507357
A1342JQPZWA0IZ, -143.0323933199583, -137.06291533603374
A153HLAVH5FILS, -147.14900650039192, -136.48768537480896
A157EF77UKOOXO, -123.29077565966449, -118.1408385820832
A15J42M6EC7Y1K, -125.42583031896574, -168.70228974782736
A171WYHYRYMYQZ, -120.55322277350083, -150.28794242193086
A182IHVF66SX19, -125.03220744279402, -111.74226548612033
A18QKM5Z69TLS, -131.0611166882412, -137.98053261690325
A197LCCJ6SC5RU, -137.79572720511038, -324.52048267292486
A19IQ1X74EMI8R, -147.64030603704808, -115.11807747608205
A19WXHQSBB6P6O, -132.3020908898856, -116.93298983111171
A19YM9K2W233IM, -130.6878772514144, -194.44696894892147
A1AZLJ3R5FQ9B7, -137.22944087291904, -113.36531160032372
A1B14CS9DW7008, -126.61193394287744, -192.37364008115756
A1B4PKGXKL7UOH, -103.7755752142647, -105.97410857356152
A1B7GQTH9YG04X, -132.20669355749493, -186.30664993952195
A1BQRDDC1NZCST, -141.97988136539564, -229.54211249681515
A1CDDS7NQPDMTO, -128.8153602042652, -119.93579158274156
A1CIEZNXXDSO6V, -141.85312408765395, -215.3688294386896
A1CR7O77ZW0QQU, -150.72676507745774, -161.29382185805483
A1D81EKB5SHTMR, -123.08259687777213, -124.69489192688425
A1DP4BJKMEF6LS, -133.13825166794467, -177.80575000209416
A1F4TB5AD4LKLO, -126.43590183057196, -108.88601473209975
A1G399CGVV8MYK, -107.61634215657077, -119.58109011674355
A1G9571XKHWHG3, -136.08923888162494, -110.95742486065141
A1GNV8C2792XF, -128.55863858587125, -114.63237669611475
A1GSEK9J872N9R, -118.79971890755381, -141.92546405018953
A1GZCLBFBKWFEZ, -129.66090099215205, -136.94671123811946
A1HFPDHBLO6KZW, -118.74258127740315, -113.29171679991224
A1HP506HGINWSV, -139.24832642486612, -177.6591057059684
A1I8VAUT4V90YR, -143.6262106898398, -122.16368504493562
A1I90G6VKLPULO, -107.94506847376742, -110.69598880985382
A1IFIK8J49WBER, -140.4381226279025, -220.14764821537545
A1IN6VRNJ1GRRB, -151.18967938126306, -185.93881911392918
A1JM5XNB4NCZR6, -144.09288663605363, -188.2929250502279
A1JVA6HGVN1D5N, -155.57673127405448, -209.186934052653
A1KIL2V6SMJBGX, -131.4082592566494, -125.18893485887808
A1L7B0F8PVW1D0, -119.05940094704178, -112.83233114798298
A1LQOCAT553X7G, -135.95022428607598, -208.01600962418385
A1MJVTR0PCKBWW, -113.91704419771386, -111.7690959231122
A1MZ1EU82NE0PQ, -118.0547905110199, -115.83166511875959
A1OLW2WXCHKX37, -110.96456487968756, -116.98264646822538
A1PMK4HE9UYJ1J, -126.98448836767697, -120.83762594599067
A1PQTHY6IUEFFF, -138.27926414796332, -115.6276014740066
A1QAWECOJYKVO4, -122.42297916256268, -111.03757701501901
A1QX1RYLCFXZJ9, -138.6730170727341, -159.13706193559156
A1QX6HVNTMQA2U, -117.85467729194289, -111.82607090994733
A1R780RJYQ68GY, -124.12326454745208, -108.58378637787393
A1S1K7134S2VUC, -124.65769179563702, -129.36993115455962
A1T0S48O0CMXBC, -138.93427401401112, -116.33092475537943
A1T429RLLFTG35, -138.8087614498774, -142.2250622195507
A1T4HSFG9NPJ23, -141.2933544673766, -132.21167217283485
A1UCT0G5KXLBMU, -118.92448815598961, -110.6446221849192
