id, varRNN, varRL
A104V8NZIQFN2F, -107.74076684401761, -202.71895452367227
A116ZI03NFKZP2, -97.85795444487024, -109.12609333682758
A12YRP4B70IFU3, -120.03256476274044, -121.66854791668074
A132MSWBBVTOES, -116.47838425135444, -195.40310862507357
A153HLAVH5FILS, -119.1723974838491, -136.48768537480896
A156I0UDVISMNE, -111.81027439443105, -173.24303229725945
A171WYHYRYMYQZ, -108.77288114465996, -150.28794242193086
A197LCCJ6SC5RU, -112.13919837735844, -324.52048267292486
A19TD2J8506A4Y, -81.94101806999586, -89.92296021809476
A19WXHQSBB6P6O, -120.92482266051611, -116.93298983111171
A19YM9K2W233IM, -111.81820536922781, -194.44696894892147
A1AZLJ3R5FQ9B7, -109.70965611125557, -113.36531160032372
A1B4PKGXKL7UOH, -90.6360189519451, -105.97410857356152
A1B7GQTH9YG04X, -106.83005078792618, -186.30664993952195
A1BG47GSHQ9WSU, -112.2334015974712, -274.9672881597294
A1BS578UP5XCAR, -110.8921431463559, -110.48273264081449
A1C2T79XTDHE39, -122.21259837484746, -154.53420546082688
A1CIEZNXXDSO6V, -115.83881144127658, -215.3688294386896
A1CR7O77ZW0QQU, -129.09038890618368, -161.29382185805483
A1GNV8C2792XF, -104.47588553631884, -114.63237669611475
A1GSEK9J872N9R, -106.88516829949606, -141.92546405018953
A1HA5WALONI2FD, -106.71130669843694, -206.2274988125883
A1HFPDHBLO6KZW, -107.58476108082041, -113.29171679991224
A1HP506HGINWSV, -126.97384067172673, -177.6591057059684
A1I8VAUT4V90YR, -123.46865438740855, -122.16368504493562
A1J7N95EW8EGCX, -107.83995463008218, -150.68893446333337
A1J9OZZ1LDG8VN, -108.27535961801114, -117.52399964635721
A1KFV732TWXROL, -109.00286956541801, -117.895812393906
A1KIL2V6SMJBGX, -111.59813547900916, -125.18893485887808
A1L7B0F8PVW1D0, -110.8910864856106, -112.83233114798298
A1LKKR0ZJ9L1IP, -103.71232634137971, -110.70778710692127
A1LSFPPDGORPB0, -118.30797411526498, -129.90458712898675
