id, varRNN, varRL
A104V8NZIQFN2F, -122.58169357087961, -202.71895452367227
A116ZI03NFKZP2, -100.72279914928201, -109.12609333682758
A12YRP4B70IFU3, -117.40520256763432, -121.66854791668074
A132MSWBBVTOES, -129.41702501746363, -195.40310862507357
A153HLAVH5FILS, -118.60828661522423, -136.48768537480896
A156I0UDVISMNE, -111.69766951947922, -173.24303229725945
A171WYHYRYMYQZ, -112.58425057130782, -150.28794242193086
A197LCCJ6SC5RU, -118.35887365732644, -324.52048267292486
A19TD2J8506A4Y, -89.15008078312928, -89.92296021809476
A19WXHQSBB6P6O, -119.41093316799311, -116.93298983111171
A19YM9K2W233IM, -119.07723160842374, -194.44696894892147
A1AZLJ3R5FQ9B7, -109.84383024826302, -113.36531160032372
A1B4PKGXKL7UOH, -95.88814554699074, -105.97410857356152
A1B7GQTH9YG04X, -112.23996769625036, -186.30664993952195
A1BG47GSHQ9WSU, -116.57186318258576, -274.9672881597294
A1BS578UP5XCAR, -114.05919188039306, -110.48273264081449
A1C2T79XTDHE39, -126.16861051539598, -154.53420546082688
A1CIEZNXXDSO6V, -126.83380364312751, -215.3688294386896
A1CR7O77ZW0QQU, -124.3561916403274, -161.29382185805483
A1GNV8C2792XF, -114.87469185212322, -114.63237669611475
A1GSEK9J872N9R, -103.7468306779584, -141.92546405018953
A1HA5WALONI2FD, -123.48353595841886, -206.2274988125883
A1HFPDHBLO6KZW, -116.52365314902727, -113.29171679991224
A1HP506HGINWSV, -114.61919398869968, -177.6591057059684
A1I8VAUT4V90YR, -126.24306578619344, -122.16368504493562
A1J7N95EW8EGCX, -116.08602766709579, -150.68893446333337
A1J9OZZ1LDG8VN, -110.95534019407505, -117.52399964635721
A1KFV732TWXROL, -106.85996946162038, -117.895812393906
A1KIL2V6SMJBGX, -112.71575139932757, -125.18893485887808
A1L7B0F8PVW1D0, -117.55494652480535, -112.83233114798298
A1LKKR0ZJ9L1IP, -111.01896142251181, -110.70778710692127
A1LSFPPDGORPB0, -105.9609429008093, -129.90458712898675
A1M1E62KXCDNL0, -116.12098006009653, -118.73173582956855
A1MJVTR0PCKBWW, -106.60154358162124, -111.7690959231122
A1MT52IO9GBZ1M, -101.50282604711678, -110.79364691797042
A1P3HHEXWNLJMP, -131.65777492701434, -254.86424235061295
A1QAWECOJYKVO4, -108.63768100182881, -111.03757701501901
A1QX1RYLCFXZJ9, -118.50317313817757, -159.13706193559156
A1T429RLLFTG35, -117.3987306837631, -142.2250622195507
A1T4HSFG9NPJ23, -120.18552342909784, -132.21167217283485
A1UKZRDH1T231M, -111.67282107714043, -175.71599437651255
A1V339VY5CNWLS, -114.2479245030308, -152.59986450109471
A1VRBTDT3VJSIA, -113.96554834558668, -110.40200376382765
A1W4IS5NDEFNFL, -122.8682386971824, -137.9657635982692
A1WSCND5HZZV5N, -120.33373025497593, -178.2770111728851
A1XE5G7H6AO5HH, -124.96210607864293, -138.67197323791112
A1XU9GFZAGFJ5B, -133.46713176919255, -238.9492841328082
A1XUZFDVKP95VC, -120.78854635292582, -145.8729849021483
A1YCGICA8XCNBH, -120.31078115887904, -176.0920086586152
A1YXTSIV0YB8RW, -107.56520464768586, -110.18919428822231
A1Z2QEEPKEK1X1, -121.84162442578254, -113.59746326759631
A1ZNMX8WJCDKQQ, -109.46848914506457, -132.9532861115919
A20KWU6IJJX5AT, -131.61782476574513, -218.81807322235798
A20VAAO3DYW5GL, -110.84834006779222, -110.0391963295581
A2179410P3XBIQ, -110.7284258297731, -141.19632293033104
A21HUPW67XA7UJ, -129.1437467796993, -166.50170079075676
A21WXJDPT7I70M, -113.33185478919435, -206.08054395284398
A21ZK49H9LSSRY, -117.90510073563637, -160.97325671066903
A21ZNPDJNBKCWG, -112.89430998024912, -134.76882343246368
A22CPS48MSR1OQ, -126.93971121360339, -219.06176177810792
A22DDO8NILSX6O, -127.71397688019842, -130.49076228637753
A22DVMN2Y3XHWA, -129.15208005964885, -151.66116773162324
A22WWSTT8TU7G1, -116.97639973750954, -142.99413946338777
A22ZB2132UJB6Y, -110.6268520955153, -122.47680842026254
A22ZZCICZDCSTY, -102.71113958726684, -150.54988412484207
A235ULDV4XUVDM, -112.51960710708016, -116.0753055077276
A24CG5BTB8KQ39, -110.02933240410505, -110.85135612751174
A24FB6EEAEZKA4, -113.20850764830247, -156.82033723467504
A2531UD0IGT731, -126.22917036910195, -145.58011755380156
A25LHXY3SAOVBV, -113.48180731419528, -154.0410860091832
A26YJJHOW9HXUY, -127.27024271340758, -185.37167505745504
A26Z8M2VSEWUU4, -130.2551934172855, -172.9816165324771
A27ZW1CY6TMKT8, -119.36374033873383, -168.07301344603349
A288RSAGJBLY9, -106.56445522336405, -135.64268419079104
A2AWSN5CWONM8, -135.09509929604718, -138.9926063574524
A2BLQ1GVEHJR8T, -109.4303558641073, -145.203295724962
A2CJNNTLFULCTH, -123.94038900453631, -157.08245981350584
A2CWA5VQZ6IWMQ, -102.81867688101191, -148.9252326684226
A2DOMBSKO75VV7, -110.98054836673151, -147.33736237062155
A2DU0TGJDZWUCV, -130.97063406602172, -201.98213590261625
A2E72ZI1VESTMR, -121.51495935266891, -130.5896433914961
A2E7S35ZI3WBET, -120.65803693323146, -120.45686355691713
A2FN0MPGK61HW, -113.04707244923227, -110.26834306113784
A2FUQER3KRIXYJ, -115.10065675295093, -199.0156873738015
A2G53Y36QD1ZGV, -119.61853913000029, -165.38863331846997
A2GL2Y13IGLHLK, -114.55162679794122, -110.14936258401491
A2GVON0W6E874S, -126.40553651029941, -256.15682440455925
A2H0A9JR2ZDR24, -113.07203030657953, -140.3650476624463
A2H6Q22X1V1FTX, -128.40166461709177, -197.6075160454701
A2HJDLSU95MH8Q, -129.95492391413833, -180.34548313793934
A2I14UHUQIH4L0, -110.11671837642109, -165.8984079092553
A2I43BDUPAM00C, -116.22111727684295, -164.09906192386262
A2INUUEUK5K065, -111.66373105959767, -110.92007083969081
A2J43FWL1Z0FV1, -120.41527864383808, -157.6014896039178
A2JD1QZEPKPD6L, -110.87467990870239, -122.30383177979031
A2JJ46H36C4R9, -117.63214021000664, -118.22028812973629
A2JJAEQ8LHRWNV, -121.53264564184218, -136.59998643771297
A2JMIAOV67CPHI, -120.17212861013225, -183.625883023604
A2K6QV9HRJ4V7B, -114.14260527617965, -111.34829096022428
A2KW17G25L25R8, -111.9841732316754, -111.95969013976766
A2LJTCHPRZLGS7, -130.35926213696064, -171.83015166508744
A2M9JNCHRKMCC4, -126.69790609938212, -152.21088401779903
A2MF0OZ7Q0J4UP, -104.92842390950695, -132.4482104736924
A2NMLTECRDWFN2, -114.2877706436562, -108.95652248002301
A2OLQUU01EOJLH, -119.66902230936677, -147.66659945627217
A2P22X4GQWQ8Z1, -105.33739425238903, -146.8416815233335
A2P5UFOTXOR08T, -108.75095775136218, -120.97252703262514
A2P8V5SKYLL5I4, -119.8614176589947, -111.11880233222804
A2QIX7DNN0DZY6, -114.89594347467026, -152.80973430179793
A2R1011DR8EXHQ, -93.9090176078054, -120.79269850422584
A2S6QOCFC3EAYH, -108.35766272612355, -137.32025344232864
A2SLEMDA17XTZ1, -116.22479888083846, -123.19036590048925
A2TV18A7NQF6I5, -122.90824512985176, -139.30841934184096
A2V3P1XE33NYC3, -122.61441225703419, -238.36631251692313
A2VGFS03KCCR1Q, -114.89027455438176, -121.88695196742121
A2VO8C41JJIQY9, -126.9327098750303, -261.6262923539127
A2VPCWI6X1QCDF, -114.56701614390502, -169.48638838708328
A2WSSRWT4ZBHK3, -112.22179180904556, -144.9233980659766
A2WTNZHRALOHX8, -109.68589549531728, -112.2753007508393
A2YCDNVHMPVFG6, -103.29121701209965, -114.23254709168596
A2YZVS6MBFQQPQ, -113.00877715185521, -181.1298273295907
A2Z75NJBZ46RE9, -117.77662086038995, -183.2188989399946
A2ZDJLY20J6678, -113.70423513842161, -111.0634388314971
A2ZIO0ZTIXOE9J, -118.51167307956558, -215.3269412749784
A2ZZ7GUR0MNWDC, -109.41137568697177, -138.02572771630997
A302KOFOYLD89A, -116.77355628398703, -145.6978135499651
A30GCTXJ17JC3I, -115.50987864168881, -112.18924267691628
A30H28F41UBJGK, -122.22809369740447, -112.89095100222147
A30VLIFQPJZ17P, -119.06994870764106, -128.17938047227653
A30Z3CWKO1B6R7, -112.07195823378552, -183.11876390375403
A318574M8Q965P, -122.97813140016684, -113.32285891988529
A327V746DXH6ID, -112.92248532642907, -128.1792972798298
A32LHQYJY0ELFS, -119.4269463426388, -123.20121500167572
A32W24TWSWXW, -106.02679283752535, -126.86585802274176
A34051YREUMGHU, -102.75541754988946, -141.22726078714786
A342YLIMT6THWO, -116.81035830195458, -125.97554281374646
A348UZASXTNGWR, -121.62238471329697, -128.41701549262078
A34DYM8J0X5VK, -125.43293017251207, -126.05626761317525
A34VID9K8BKKSH, -109.37172170557808, -123.04228790466784
A362RXUHDXF7EA, -109.96970733061504, -113.47279146809556
A363NKR14886XG, -128.41269743845328, -182.9666996686139
