id, varRNN, varRL
A10FTGEV1WR18H, -134.5916712096714, -144.99186069467845
A1171IQSWQS0K8, -125.66862210637805, -150.58467548481738
A12GURH9VA1DSL, -143.642681586783, -110.2000624459549
A131ASOEYX40WQ, -79.88489129002926, -74.2647701205667
A13FTIHWW9GE8X, -149.76438895117607, -126.02908262596571
A13WYZ8AXD6ODX, -30.362656733616312, -107.76697745795246
A14S8YR2HRXVNX, -504.22533949126836, -109.85140409323907
A14Y8ML89H3XFL, -157.87323528441482, -115.23928886481842
A17FGZ1I5P9RZA, -140.05518518437785, -200.8381646698187
A17UGPL6SP30TI, -116.41079156764594, -108.23630776099546
A185UIGZSN2Z0K, -118.0105360743706, -142.25758226337163
A18R0AUVIN6WX, -138.44694780441853, -227.893304104574
A18S266M02RWZU, -114.22173655010712, -111.44634846311918
A19AVIOBMJJFR, -127.53064786820133, -112.25325940980575
A19DVHPN5TEYL7, -104.40735399727149, -111.06198576630923
A19TD2J8506A4Y, -95.68037628507861, -89.92296021809476
A1AZGIX6JKKXLJ, -173.61819277494044, -111.60788038204558
A1B3GZ82DXB3FC, -110.26792114394586, -166.42785219926378
A1B58D405N5JMG, -118.80746637982652, -105.92702592070673
A1C2T79XTDHE39, -135.61051550267572, -154.53420546082688
A1CQ0A0GDCNWQM, -113.0108446351135, -145.25751346028508
A1CWIZ7489ITS9, -131.17615733741198, -106.99909087321507
A1DAMLBQ646F3K, -117.97061565542045, -110.25070518071851
A1DHGKBQOKC8CC, -91.59772375037912, -125.70507029097357
A1DQQ0CHG7WW3E, -713.8495863543361, -111.08545185625283
A1E6CS5JV5MNGI, -108.99558423658769, -121.3738549559887
A1EMZIYF5ZO6JB, -170.2419103731988, -111.28749952838882
A1F8TOJICOEVLL, -113.58757980306639, -153.39574761500748
A1FDT9TI1EUTUT, -81.64029865746126, -105.8766734980453
A1FXGW5C0H4L3T, -105.21748721166283, -110.80463992802764
A1G1K9Y2EXBWCC, -141.40607915319984, -116.03369530240838
A1HKYY6XI2OHO1, -112.56604563629897, -107.01940168249114
A1HPHTOU79BT9H, -78.42118408434683, -70.32535029016798
A1HYX9RFPAO63W, -145.0140833054793, -110.57909940057661
A1J1PWS99LFVPL, -141.05228035509984, -110.8755799004287
A1J7N95EW8EGCX, -117.42806056017369, -150.68893446333337
A1JX9ROLDPIVTX, -130.69348348601594, -169.38376542901327
A1K93WBH35CIAZ, -80.11557239919102, -89.48275996367491
A1LKKR0ZJ9L1IP, -118.20503677689942, -110.70778710692127
A1MBOVL1252O51, -144.90107259020883, -110.78401643107725
A1MJ82C7YG7W89, -118.69093413000677, -116.76843303709568
A1MLWVH0IE3HJ1, -103.67984057178742, -109.02885250376833
A1MYJP0JHMTTHV, -105.10480513181209, -101.86602197701893
A1N1N35Z156GTY, -142.58107765273633, -111.16304931993014
A1O57XVTTB1PNZ, -121.17821330016923, -150.5248111236599
A1PUIGT83JOHH6, -136.18437125585228, -138.41957711034
A1Q2Y5NFN4VVGT, -65.57750608405574, -112.67224802845382
A1Q8LP6TE293F4, -135.08350099940787, -113.06231139712399
A1QA71PIMNZWYD, -120.09867238136624, -110.16566267796082
A1QCXSZJ3ZLCNY, -134.72006080516152, -218.3016131239193
A1QONOC90I9YMI, -113.27322177096607, -143.27306215179377
A1QVRDWVOPLMTS, -106.98094833497335, -109.49365057223758
A1RMC2LZQUM9L6, -136.00239373661054, -163.0969331274325
A1SX3P1H4IWKFQ, -48.41234735893349, -100.79249111890316
A1TKDVMKM4VWQ8, -128.94136057477513, -110.3252897890407
A1UJ2M1AKWMNLC, -202.36836486761703, -110.64398727016713
A1UY31PXAQRQ5G, -113.9449716522416, -111.06989456001942
A1VCX33RL5OFNY, -43.99386373543445, -108.34537794946688
A1VFRCYMWGWWCZ, -103.44295247435264, -105.32398312745316
A1W1QA5KGVZBLC, -109.30100484445327, -144.85854133355798
A1XIVB0HPSFJHG, -107.43772021554628, -111.49949731009463
A1XUZFDVKP95VC, -137.35743570913004, -145.8729849021483
A1XWKA72Z23TGA, -142.82240272903508, -110.35852952970497
A1YK7OG66BQXVX, -105.74611530310675, -93.27158236095394
A201524B1GJWBO, -104.3666094220176, -103.20581581130605
A203M04929HFP4, -124.53825410807691, -165.0753381411638
A20CEJD8OX82EO, -210.6882173373159, -110.0021307598144
A20VAAO3DYW5GL, -142.91335586272788, -110.0391963295581
A2259HGMTESQVX, -111.7828798347253, -140.83412158154144
A23A5GN4EU95BU, -90.29240330461559, -110.47457543984709
