id, varRNN, varRL
A002160837SWJFPIAI7L7, -112.34323675292282, -195.21292281437925
A10ZJQC7W1QHIO, -108.3597121606814, -171.53180890367744
A13324WUZPFTSU, -100.59883275631454, -111.0372264648453
A1342JQPZWA0IZ, -132.46255628881866, -137.06291533603374
A13I77DAQDOP0O, -105.11698887787912, -172.34763121933227
A156I0UDVISMNE, -103.47708560918207, -173.24303229725945
A157EF77UKOOXO, -88.84871910787189, -118.1408385820832
A159IA6F6H52HQ, -96.37945155557566, -107.73590771312104
A15J42M6EC7Y1K, -105.08930554945684, -168.70228974782736
A171WYHYRYMYQZ, -94.06709493274383, -150.28794242193086
A18QKM5Z69TLS, -102.59624476751576, -137.98053261690325
A19WXHQSBB6P6O, -103.78210706302431, -116.93298983111171
A1A8MBDIAQT43U, -106.38046630205132, -140.49710952558922
A1AINTCOQ7NXLX, -114.60849234249676, -253.62797551937422
A1AZLJ3R5FQ9B7, -129.86758381466225, -113.36531160032372
A1B4PKGXKL7UOH, -81.13040277441834, -105.97410857356152
A1B7GQTH9YG04X, -104.51287377174569, -186.30664993952195
A1BG47GSHQ9WSU, -113.46972254192534, -274.9672881597294
A1BQRDDC1NZCST, -116.20679500976594, -229.54211249681515
A1CDDS7NQPDMTO, -111.25412541976426, -119.93579158274156
A1CIEZNXXDSO6V, -111.48128733890552, -215.3688294386896
A1COS8FJCDM53I, -87.57543113511632, -111.03648871739851
A1G9571XKHWHG3, -109.07744742031748, -110.95742486065141
A1GSEK9J872N9R, -89.12148277004697, -141.92546405018953
A1HFPDHBLO6KZW, -102.16178000006819, -113.29171679991224
A1HJV1Z4FCM0N6, -100.30009586296306, -110.7197687447843
A1HP506HGINWSV, -107.90201673333593, -177.6591057059684
A1I90G6VKLPULO, -90.30140234153099, -110.69598880985382
A1IN6VRNJ1GRRB, -109.80460395082416, -185.93881911392918
A1JM5XNB4NCZR6, -117.8399326278505, -188.2929250502279
A1K21SF4UU9I89, -99.50315316968899, -107.92130334780983
A1KIL2V6SMJBGX, -112.3734283197826, -125.18893485887808
A1KUHOL3DB3ON, -111.05399039709076, -111.03896873108147
A1L69N4ECWU93U, -110.84260895162932, -221.8159682295723
A1L7B0F8PVW1D0, -110.02816483639107, -112.83233114798298
A1LCCAV2FSJTR0, -107.9360265284593, -110.02043495363122
A1LQOCAT553X7G, -106.91217080068772, -208.01600962418385
A1MJVTR0PCKBWW, -91.04827740907334, -111.7690959231122
A1OLW2WXCHKX37, -93.17193075145164, -116.98264646822538
A1OZ1S22HC1MAC, -88.13896243389328, -110.72615149093527
A1PDF57SAMGMF0, -89.29372345545214, -110.84641191659279
